"","state","pop","pop.delta","urban","undeveloped","ag","urban.delta","undeveloped.delta","ag.delta","fertilizer","fertilizer.delta","feed","feed.delta"
"1","AL",-0.438314550857349,-0.535321961146261,-0.407726697225252,-0.211969201596865,-0.403884516015457,-0.31291438859392,0.976867101547159,-0.961047697963944,-0.656856465231231,-0.485190164613415,0.265964017802559,-0.0308564365034696
"2","AR",-0.568517045386308,-0.560718230279833,-0.465070896099746,-0.325819343888758,0.599865336455276,-0.0693800214835802,0.750168486183159,-0.586361051553408,0.485708152590068,-0.172413683771281,0.592807388181708,-0.247516341299596
"3","AZ",-0.13141760108471,1.19615182415969,-0.203028200247205,2.23395374373647,-1.07067905699159,0.281076353838519,-0.160730553752747,0.0251785400485671,-0.330156799084331,-0.522459274801651,-0.226270387155534,0.41401864410049
"4","CA",0.713944892125958,1.17155357404605,0.295523066216246,0.476391888965275,-0.479550670644176,-0.159511911796902,-0.456616637126498,0.385380211630756,1.78257244896683,3.08504312593661,0.686750214374298,0.592773284047073
"5","CO",-0.514235707107111,0.135657828906422,-0.664786004611011,0.404725784420533,-0.309615157686169,-0.720270603987241,-1.34757778276925,1.66489803159972,-0.708706300591211,-0.528865299422984,-0.166445202313991,0.631459881317516
"6","CT",1.98553594976952,-0.872157817192338,2.09993711940293,-0.301349975377643,-1.06806131187037,1.37646818692389,-0.0143359090669944,-0.242673908175194,-0.697218296140796,-0.818534996761323,-0.387530086630574,-0.617278064738571
"7","DE",0.967186864942502,2.3614456308779,1.30240537814086,-0.60742958016683,0.790270793774437,3.40912389783611,0.288966684314677,-1.68134875914589,1.96382569563903,0.902332578951676,5.99525440033606,-3.57137567470654
"8","FL",0.705595854841078,3.71095584107087,0.831933249532933,-0.230421956447002,-0.252046349189843,2.14201783262047,0.207963340333332,-0.611129234448427,0.594639401058171,0.363405767569446,-0.380782297762498,-0.366314004495379
"9","GA",-0.147794004161115,0.57011831177459,-0.046526835567314,-0.247988287600196,-0.336404245281535,0.299374634899565,0.420574954610779,-0.56184294123933,-0.0731387164734854,-0.0565739145252316,0.434959160015682,-0.232757660858179
"10","IA",-0.596626306712185,-0.577853182396655,-0.3802737907755,-0.900929042817923,2.84007461480757,-0.148630990340506,0.531258251299707,-0.293436034142799,2.42231647006255,2.96504857463957,0.957507161048153,3.60174062966342
"11","ID",-0.611979288456551,-0.177511422236553,-0.685805556831347,1.48653177416138,0.106245036935379,-0.707018517544695,-1.12428804690667,1.27597026837467,0.569846630095229,0.759850134014951,0.395198320146909,2.0567990000713
"12","IL",0.0778964477265995,-0.955453892785922,0.497775704887999,-0.835059253276337,2.3038449245118,-0.404541470538235,0.682830933279586,-0.468410924707759,2.93833225639105,2.23025532859914,-0.350918208994616,0.208577138292363
"13","IN",-0.114896922056217,-0.184923053630515,0.164623110415964,-0.740144007462346,1.86752591959325,0.760869054127379,0.675130586296994,-0.721901118758236,2.45103372484597,1.29449341623588,0.209393612571544,0.531127337697114
"14","KS",-0.67088685402339,-0.672457022585463,-0.694317286058726,-0.580079693695888,1.38667115333912,-0.910732316137526,-0.864839622923701,1.34730019294039,0.3222092891159,0.593577418244744,0.0950124319062189,0.753593763860235
"15","KY",-0.377884142673866,-0.470172463595001,-0.395467042611279,-0.396269511527404,0.487441222928367,-0.197841134790045,0.886200103845159,-0.854668038989595,-0.0931445941435544,0.198697535242846,-0.1120023270742,-0.529846895883672
