STATE_NAME,Unclassified,Open_Water,Perennial_Snow_Ice,Developed__Open_Space,Developed__Low_Intensity,Developed__Medium_Intensity,Developed__High_Intensity,Barren_Land,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Shrub_Scrub,Herbaceous,Hay_Pasture,Cultivated_Crops,Woody_Wetlands,Emergent_Herbaceous_Wetlands
Alabama,0.000000000000000,3133395.000000000000000,0.000000000000000,6614795.000000000000000,3323808.000000000000000,1458471.000000000000000,471234.000000000000000,372722.000000000000000,25299108.000000000000000,35321225.000000000000000,16431908.000000000000000,8161399.000000000000000,5068127.000000000000000,19094354.000000000000000,6485291.000000000000000,16678336.000000000000000,913699.000000000000000
Arizona,76548.000000000000000,564238.000000000000000,2.000000000000000,3306310.000000000000000,2226938.000000000000000,2129950.000000000000000,652429.000000000000000,8598066.000000000000000,104189.000000000000000,42673152.000000000000000,93152.000000000000000,231402512.000000000000000,28066962.000000000000000,138377.000000000000000,5638123.000000000000000,1168051.000000000000000,402547.000000000000000
Arkansas,0.000000000000000,3497887.000000000000000,0.000000000000000,4805814.000000000000000,2971541.000000000000000,1291964.000000000000000,417615.000000000000000,323037.000000000000000,29053172.000000000000000,24817672.000000000000000,10386145.000000000000000,3952108.000000000000000,3502275.000000000000000,19985857.000000000000000,31064709.000000000000000,15493443.000000000000000,709763.000000000000000
California,0.000000000000000,6267274.000000000000000,85282.000000000000000,11841511.000000000000000,7052587.000000000000000,9149442.000000000000000,3026947.000000000000000,21450416.000000000000000,1534339.000000000000000,86549926.000000000000000,8717818.000000000000000,184166216.000000000000000,62840949.000000000000000,2951522.000000000000000,43297073.000000000000000,1523605.000000000000000,3589312.000000000000000
Colorado,0.000000000000000,1200599.000000000000000,259449.000000000000000,4265804.000000000000000,2267388.000000000000000,1600679.000000000000000,519383.000000000000000,2256326.000000000000000,19530523.000000000000000,60083944.000000000000000,2427919.000000000000000,71874357.000000000000000,86653903.000000000000000,3421633.000000000000000,37203261.000000000000000,2797956.000000000000000,3215140.000000000000000
Connecticut,0.000000000000000,526681.000000000000000,0.000000000000000,1407721.000000000000000,1140159.000000000000000,874329.000000000000000,284357.000000000000000,39349.000000000000000,6002230.000000000000000,220850.000000000000000,1595930.000000000000000,65242.000000000000000,108684.000000000000000,540518.000000000000000,220642.000000000000000,1193748.000000000000000,100869.000000000000000
Delaware,0.000000000000000,311498.000000000000000,0.000000000000000,497307.000000000000000,383989.000000000000000,242023.000000000000000,92973.000000000000000,13710.000000000000000,285682.000000000000000,177977.000000000000000,230889.000000000000000,24355.000000000000000,14404.000000000000000,66545.000000000000000,2180328.000000000000000,1051311.000000000000000,339624.000000000000000
District of Columbia,0.000000000000000,17239.000000000000000,0.000000000000000,23504.000000000000000,39948.000000000000000,59672.000000000000000,31184.000000000000000,396.000000000000000,14131.000000000000000,35.000000000000000,1420.000000000000000,132.000000000000000,307.000000000000000,232.000000000000000,150.000000000000000,1393.000000000000000,370.000000000000000
Florida,0.000000000000000,7699343.000000000000000,0.000000000000000,10384005.000000000000000,7740509.000000000000000,4832948.000000000000000,1526825.000000000000000,571839.000000000000000,301884.000000000000000,28750651.000000000000000,1179642.000000000000000,6574881.000000000000000,4727364.000000000000000,18336412.000000000000000,10282090.000000000000000,41697008.000000000000000,16019781.000000000000000
Georgia,0.000000000000000,2974760.000000000000000,0.000000000000000,9270983.000000000000000,5588777.000000000000000,2432275.000000000000000,1013059.000000000000000,396194.000000000000000,21139150.000000000000000,39063740.000000000000000,10884213.000000000000000,7063953.000000000000000,7744087.000000000000000,11438753.000000000000000,19929309.000000000000000,27040381.000000000000000,2743842.000000000000000
Idaho,4627.000000000000000,2400049.000000000000000,71021.000000000000000,2129085.000000000000000,1208851.000000000000000,633163.000000000000000,136078.000000000000000,773941.000000000000000,1288447.000000000000000,68384812.000000000000000,324390.000000000000000,93744876.000000000000000,39294755.000000000000000,2120088.000000000000000,24043308.000000000000000,1491269.000000000000000,1790791.000000000000000
Illinois,0.000000000000000,2928787.000000000000000,0.000000000000000,5354454.000000000000000,7522877.000000000000000,3906849.000000000000000,1468399.000000000000000,186085.000000000000000,20581921.000000000000000,199864.000000000000000,2445875.000000000000000,145315.000000000000000,630114.000000000000000,11320192.000000000000000,101105106.000000000000000,3555595.000000000000000,664065.000000000000000
Indiana,0.000000000000000,1395614.000000000000000,0.000000000000000,5156754.000000000000000,3826121.000000000000000,2262968.000000000000000,851798.000000000000000,157264.000000000000000,21320987.000000000000000,274055.000000000000000,1882179.000000000000000,186738.000000000000000,703923.000000000000000,7495782.000000000000000,56369157.000000000000000,2494933.000000000000000,372829.000000000000000
Iowa,0.000000000000000,1597392.000000000000000,0.000000000000000,4277356.000000000000000,3954428.000000000000000,1780239.000000000000000,466384.000000000000000,168783.000000000000000,10685983.000000000000000,158095.000000000000000,1322686.000000000000000,139475.000000000000000,2885213.000000000000000,19235250.000000000000000,111754175.000000000000000,2070426.000000000000000,1399583.000000000000000
Kansas,0.000000000000000,1996122.000000000000000,0.000000000000000,6704849.000000000000000,3292157.000000000000000,1306801.000000000000000,395892.000000000000000,166405.000000000000000,10126947.000000000000000,63572.000000000000000,572023.000000000000000,2342515.000000000000000,80287930.000000000000000,20013868.000000000000000,107624179.000000000000000,1048972.000000000000000,601034.000000000000000
Kentucky,0.000000000000000,1950564.000000000000000,0.000000000000000,5375071.000000000000000,2358205.000000000000000,1324181.000000000000000,506642.000000000000000,292739.000000000000000,50626137.000000000000000,1134504.000000000000000,9467311.000000000000000,1022812.000000000000000,1081271.000000000000000,25192072.000000000000000,14074080.000000000000000,1392044.000000000000000,233448.000000000000000
Louisiana,0.000000000000000,10309438.000000000000000,0.000000000000000,3645611.000000000000000,4004044.000000000000000,1740906.000000000000000,663456.000000000000000,258894.000000000000000,1299580.000000000000000,26316208.000000000000000,2550382.000000000000000,5184808.000000000000000,3286569.000000000000000,8553240.000000000000000,20970884.000000000000000,29618386.000000000000000,13504747.000000000000000
Maine,165208.000000000000000,5166948.000000000000000,0.000000000000000,2076002.000000000000000,1227789.000000000000000,609133.000000000000000,170706.000000000000000,175496.000000000000000,14188290.000000000000000,19467599.000000000000000,29440879.000000000000000,2567166.000000000000000,1669969.000000000000000,2280411.000000000000000,1038153.000000000000000,11204546.000000000000000,1104440.000000000000000
Maryland,0.000000000000000,1324767.000000000000000,0.000000000000000,2536608.000000000000000,1646923.000000000000000,913285.000000000000000,352664.000000000000000,65168.000000000000000,6546797.000000000000000,634056.000000000000000,2160559.000000000000000,147912.000000000000000,150913.000000000000000,2761415.000000000000000,5372645.000000000000000,2812569.000000000000000,602797.000000000000000
Massachusetts,0.000000000000000,1312988.000000000000000,0.000000000000000,1583948.000000000000000,1868080.000000000000000,1890549.000000000000000,748102.000000000000000,127890.000000000000000,4728610.000000000000000,2009017.000000000000000,4827278.000000000000000,188866.000000000000000,255504.000000000000000,807216.000000000000000,265755.000000000000000,2536408.000000000000000,368306.000000000000000
Michigan,7359.000000000000000,5467735.000000000000000,0.000000000000000,7680030.000000000000000,5940224.000000000000000,3339817.000000000000000,1284726.000000000000000,474903.000000000000000,35319979.000000000000000,8234763.000000000000000,12351297.000000000000000,1926857.000000000000000,3927470.000000000000000,4954546.000000000000000,37528388.000000000000000,36250033.000000000000000,1930114.000000000000000
Minnesota,208288.000000000000000,14173111.000000000000000,0.000000000000000,6316123.000000000000000,3903171.000000000000000,2326467.000000000000000,732939.000000000000000,421964.000000000000000,27714934.000000000000000,5284817.000000000000000,11412778.000000000000000,1899132.000000000000000,2656714.000000000000000,13875698.000000000000000,94371590.000000000000000,38141355.000000000000000,19785885.000000000000000
Mississippi,0.000000000000000,3027702.000000000000000,0.000000000000000,4965555.000000000000000,2528917.000000000000000,1112584.000000000000000,318291.000000000000000,257348.000000000000000,12782547.000000000000000,27815633.000000000000000,16764529.000000000000000,6053495.000000000000000,2895188.000000000000000,16246669.000000000000000,18358221.000000000000000,22329483.000000000000000,1581839.000000000000000
Missouri,0.000000000000000,2987410.000000000000000,0.000000000000000,6795471.000000000000000,4710365.000000000000000,2095571.000000000000000,690689.000000000000000,322734.000000000000000,66539930.000000000000000,2073127.000000000000000,5403104.000000000000000,1157671.000000000000000,1108999.000000000000000,58849270.000000000000000,43762340.000000000000000,3645082.000000000000000,820627.000000000000000
Montana,178141.000000000000000,4318664.000000000000000,53213.000000000000000,2734111.000000000000000,1341375.000000000000000,574373.000000000000000,116307.000000000000000,1919890.000000000000000,905714.000000000000000,84162294.000000000000000,409018.000000000000000,105154699.000000000000000,146010710.000000000000000,8218021.000000000000000,60780425.000000000000000,2621869.000000000000000,4226974.000000000000000
Nebraska,0.000000000000000,2179947.000000000000000,0.000000000000000,4241173.000000000000000,2095093.000000000000000,928687.000000000000000,305404.000000000000000,168790.000000000000000,2897956.000000000000000,946440.000000000000000,329969.000000000000000,351587.000000000000000,114482022.000000000000000,2039250.000000000000000,85452966.000000000000000,1690144.000000000000000,4427000.000000000000000
Nevada,0.000000000000000,1669243.000000000000000,9.000000000000000,1059671.000000000000000,972747.000000000000000,992157.000000000000000,386554.000000000000000,10972322.000000000000000,788257.000000000000000,30687948.000000000000000,178240.000000000000000,228432063.000000000000000,36496709.000000000000000,1194392.000000000000000,1740830.000000000000000,1409941.000000000000000,1500205.000000000000000
New Hampshire,15823.000000000000000,844085.000000000000000,0.000000000000000,1024032.000000000000000,785818.000000000000000,502723.000000000000000,142250.000000000000000,94754.000000000000000,5852869.000000000000000,4981566.000000000000000,8885722.000000000000000,579618.000000000000000,224963.000000000000000,748902.000000000000000,64658.000000000000000,1729995.000000000000000,168626.000000000000000
New Jersey,0.000000000000000,829880.000000000000000,0.000000000000000,2534259.000000000000000,2180758.000000000000000,1416460.000000000000000,662724.000000000000000,75254.000000000000000,4193614.000000000000000,875107.000000000000000,1133886.000000000000000,138430.000000000000000,151572.000000000000000,934794.000000000000000,1934553.000000000000000,3673240.000000000000000,870118.000000000000000
New Mexico,9298.000000000000000,505509.000000000000000,10.000000000000000,2920085.000000000000000,1153494.000000000000000,736624.000000000000000,178335.000000000000000,1653901.000000000000000,996374.000000000000000,53207198.000000000000000,325029.000000000000000,215771256.000000000000000,64229373.000000000000000,556671.000000000000000,6626185.000000000000000,727289.000000000000000,795661.000000000000000
New York,4206.000000000000000,4881043.000000000000000,0.000000000000000,7053163.000000000000000,4238218.000000000000000,2680763.000000000000000,1227249.000000000000000,260437.000000000000000,49851407.000000000000000,11453786.000000000000000,15182429.000000000000000,1122428.000000000000000,832860.000000000000000,17638058.000000000000000,11141378.000000000000000,11066691.000000000000000,1113628.000000000000000
North Carolina,0.000000000000000,3125399.000000000000000,0.000000000000000,10205014.000000000000000,5024162.000000000000000,2170775.000000000000000,741781.000000000000000,257516.000000000000000,26569351.000000000000000,19567594.000000000000000,14773849.000000000000000,3899618.000000000000000,3325334.000000000000000,10784990.000000000000000,19331486.000000000000000,19778115.000000000000000,1594539.000000000000000
North Dakota,62852.000000000000000,8079247.000000000000000,0.000000000000000,4949464.000000000000000,1490285.000000000000000,627975.000000000000000,149507.000000000000000,224074.000000000000000,2853993.000000000000000,260010.000000000000000,239433.000000000000000,12015160.000000000000000,45265437.000000000000000,12753311.000000000000000,105120115.000000000000000,986020.000000000000000,8698694.000000000000000
Ohio,0.000000000000000,1489348.000000000000000,0.000000000000000,7309232.000000000000000,5978165.000000000000000,3281415.000000000000000,1265695.000000000000000,209877.000000000000000,33810483.000000000000000,575794.000000000000000,3207058.000000000000000,512954.000000000000000,678500.000000000000000,15160526.000000000000000,43107173.000000000000000,1563319.000000000000000,396357.000000000000000
Oklahoma,0.000000000000000,3834382.000000000000000,0.000000000000000,6225144.000000000000000,2772677.000000000000000,1850202.000000000000000,615471.000000000000000,389007.000000000000000,33588176.000000000000000,6366896.000000000000000,4632228.000000000000000,12097990.000000000000000,68315934.000000000000000,23920384.000000000000000,34696414.000000000000000,1533811.000000000000000,615704.000000000000000
Oregon,0.000000000000000,2813521.000000000000000,39078.000000000000000,4288533.000000000000000,2048959.000000000000000,1271446.000000000000000,444823.000000000000000,1535667.000000000000000,704544.000000000000000,95548173.000000000000000,6599266.000000000000000,91574725.000000000000000,44804540.000000000000000,8847312.000000000000000,13307965.000000000000000,1767252.000000000000000,3755062.000000000000000
Pennsylvania,0.000000000000000,1571402.000000000000000,0.000000000000000,9054686.000000000000000,4805545.000000000000000,2596258.000000000000000,1161862.000000000000000,354480.000000000000000,59649660.000000000000000,2260575.000000000000000,16224168.000000000000000,1093128.000000000000000,958513.000000000000000,16695062.000000000000000,11669460.000000000000000,2115481.000000000000000,324557.000000000000000
Rhode Island,0.000000000000000,208119.000000000000000,0.000000000000000,181829.000000000000000,218798.000000000000000,307576.000000000000000,154897.000000000000000,21828.000000000000000,792462.000000000000000,122085.000000000000000,408904.000000000000000,25463.000000000000000,88341.000000000000000,85733.000000000000000,16196.000000000000000,348222.000000000000000,26430.000000000000000
South Carolina,0.000000000000000,2959268.000000000000000,0.000000000000000,5374796.000000000000000,3088213.000000000000000,1298832.000000000000000,449596.000000000000000,181061.000000000000000,7194310.000000000000000,21471017.000000000000000,5015544.000000000000000,3871040.000000000000000,3783804.000000000000000,5706559.000000000000000,8063850.000000000000000,17692399.000000000000000,2679869.000000000000000
South Dakota,0.000000000000000,5312027.000000000000000,0.000000000000000,3883356.000000000000000,1147305.000000000000000,523767.000000000000000,140270.000000000000000,1636724.000000000000000,1242938.000000000000000,5872817.000000000000000,239438.000000000000000,4150117.000000000000000,102739810.000000000000000,17113706.000000000000000,72019448.000000000000000,582644.000000000000000,5541234.000000000000000
Tennessee,0.000000000000000,2733706.000000000000000,0.000000000000000,6809171.000000000000000,3693616.000000000000000,1880462.000000000000000,709527.000000000000000,191287.000000000000000,46113301.000000000000000,4852442.000000000000000,10576089.000000000000000,1618292.000000000000000,1483714.000000000000000,23915116.000000000000000,12520527.000000000000000,3799231.000000000000000,234579.000000000000000
Texas,498503.000000000000000,10113816.000000000000000,0.000000000000000,18508585.000000000000000,13007959.000000000000000,9906690.000000000000000,4038112.000000000000000,2299304.000000000000000,20383681.000000000000000,43226641.000000000000000,16014798.000000000000000,314012163.000000000000000,110284484.000000000000000,75461899.000000000000000,94439047.000000000000000,21360357.000000000000000,7440596.000000000000000
