State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,1,Administration and Management of Alabama’s FY2019 Clean Water Act (CWA) Section 319 Nonpoint Source Program Funds,Yes,"BMP Design
NPS Grants Administration
Technical Assistance/Technology Transfer
Development of WBPs or Acceptable Alternatives
Implementing a Statewide Program (Regulatory or Non-Regulatory)
Other
NPS State Staff Activities
Education/Information
GIS/Modeling
Watershed Planning
Other Planning
",Agriculture; Construction; Hydromodification; Land Disposal/Storage/Treatment; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$862,394 ",No,On Schedule,Will start on 09/01/2020,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,2,Statewide Surface Water Quality Monitoring of Priority Wadeable Streams and Rivers,Yes,"Other Planning
Water Quality Assessment/Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$333,187 ",No,On Schedule,Will start on 10/01/2018,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,3,"Surface Water Quality Assessment of Rivers, Reservoirs and Tributary Embayments on a Statewide Rotation",Yes,"Other Planning
Water Quality Assessment/Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$177,419 ",No,On Schedule,Will start on 10/01/2018,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,4,Alabama Coastal Nonpoint Pollution Control Program: Coastal Alabama Urban Areas Nonpoint Source (NPS) Projects,No,"Education/Information
Other Planning
",Other NPS Pollution,NOT APPLICABLE (NA),"$100,000 ",No,Pending,Will start on 09/01/2020,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,5,Holistic Management Approach to Protecting and Restoring Watershed Health and Improving Water Quality with the Development of Watershed Management Plans,No,"Education/Information
Watershed Planning
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$120,000 ",Yes,Pending,Will start on 09/01/2021,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,6,Pathogen Reduction of Turkey Branch: A Weeks Bay Watershed Project,No,"BMP Implementation
",Agriculture; Land Disposal/Storage/Treatment,Implementing a TMDL,"$215,779 ",Yes,Pending,Will start on 09/30/2021,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,7,Roebuck Municipal Golf Course Stream Restoration and Demonstration Project,No,"BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$430,668 ",Yes,Pending,Will start on 09/30/2021,Will be Completed On 10/01/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,8,Ryan Creek Watershed Implementation Project,No,"BMP Implementation
",Agriculture; Animal Feeding Operations; Silviculture,Implementing a TMDL,"$162,161 ",Yes,,Will start on 09/30/2021,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,9,Anderson Creek Watershed Restoration Project,No,"BMP Implementation
",Agriculture,Developing a TMDL,"$255,089 ",Yes,,Will start on 09/30/2021,Will be Completed On 09/30/2023
AL,2019,96464619,AL DEPT OF ENVIRONMENTAL MANAGEMENT,10,Big Nance Creek Watershed Restoration Project,No,"BMP Implementation
",Agriculture; Animal Feeding Operations,Implementing a TMDL,"$132,778 ",Yes,Discontinued,Will start on 09/30/2021,Will be Completed On 09/30/2023
