State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,1,Reduce Bacteria Pollution - Anchorage Bowl,No,"BMP Effectiveness Monitoring
Education/Information
GIS/Modeling
",Urban Runoff/Stormwater,Implementing a TMDL,"$37,554 ",No,Completed,Will start on 03/01/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,2,Kenai River Water Quality Monitoring and Assessment,No,"Education/Information
GIS/Modeling
Monitoring Design
",Marinas and Recreational Boating; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$101,491 ",No,Completed,Will start on 03/01/2019,Will be Completed On 04/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,3,Little Susitna River Total Aromatic Hydrocarbon (TAH) Monitoring,No,"BMP Effectiveness Monitoring
Monitoring Design
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$63,627 ",No,Completed,Will start on 03/04/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,13,Ketchikan Beaches and Watersheds Management,No,"BMP Design
Education/Information
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$37,202 ",No,Completed,Will start on 04/03/2019,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,14,Water Chemistry Evaluation for Bristol Bay,No,"Education/Information
Monitoring Design
",Other NPS Pollution; Resource Extraction,NOT APPLICABLE (NA),"$29,886 ",No,Completed,Will start on 03/01/2019,Will be Completed On 02/28/2020
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,15,Low-Impact Development Planning for the City of Homer,No,"BMP Design
BMP Implementation
Education/Information
GIS/Modeling
",Construction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$59,785 ",No,Completed,Will start on 03/13/2019,Will be Completed On 06/30/2020
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,16,Scaling Green Infrastructure in Fairbanks,No,"BMP Implementation
",Marinas and Recreational Boating; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$88,500 ",No,Completed,Will start on 03/01/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,17,"Controlling Urban Runoff to Cottonwood Creek, Phase 2",No,"BMP Design
BMP Implementation
Other Restoration/Protection
",Urban Runoff/Stormwater,Implementing a TMDL,"$58,326 ",No,Completed,Will start on 03/18/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,18,Jordan Creek Watershed (Juneau),No,"BMP Design
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$91,932 ",No,Completed,Will start on 04/03/2019,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,21,DEC NPS Staff Time: Project Implementation,Yes,"NPS Grants Administration
Technical Assistance/Technology Transfer
NPS Monitoring
Development of WBPs or Acceptable Alternatives
Development of TMDLs
Implementing a Statewide Program (Regulatory or Non-Regulatory)
Watershed Protection and Restoration Implementation
Other Restoration/Protection
",Construction; Marinas and Recreational Boating; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$1,574,261 ",No,,Will start on 07/01/2018,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,22,DEC NPS STaff Time: Program Work,Yes,"Other Planning
",Construction; Marinas and Recreational Boating; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$3,350,844 ",No,,Will start on 07/01/2018,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,23,Lake Lucille Lake Management Plan,No,"BMP Design
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$30,000 ",No,Completed,Will start on 07/01/2019,Will be Completed On 06/30/2020
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,25,Anchorage Streams Pathogens Monitoring ,No,"BMP Effectiveness Monitoring
",Urban Runoff/Stormwater,Implementing a TMDL,"$16,884 ",No,Completed,Will start on 04/01/2020,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,26,ACWA Prioritization Model Development,Yes,"GIS/Modeling
Watershed Planning
",Construction; Marinas and Recreational Boating; Other NPS Pollution; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$49,981 ",No,,Will start on 07/01/2019,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,28,"Gold Systems Contract - AWQMS License, Maintenance and Support",Yes,"Water Quality Assessment/Monitoring
",Construction; Historical Pollutants; Hydromodification; Marinas and Recreational Boating; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,279 ",No,,Will start on 07/01/2018,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,29,Salcha River Water Quality Monitoring,No,"Education/Information
Monitoring Design
",Marinas and Recreational Boating; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$6,536 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,30,Lake Lucile Bioretention Installation at Burchell HS & Watershed Health Outreach,No,"BMP Design
BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$13,410 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,31,Jordan Creek Restoration & Implementation of Best Mgmt Practices,No,"BMP Design
BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$19,415 ",No,,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,32,Chena River Water Quality Monitoring,No,"Education/Information
Monitoring Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$4,601 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,33,Clearer Creeks in the Interior - Placer Mining Outreach,No,"Education/Information
",Resource Extraction,Implementing a TMDL,"$14,050 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,34,No Litter YES Healthy Slough - Noyes Slough Outreach,No,"BMP Implementation
Education/Information
",Other NPS Pollution; Urban Runoff/Stormwater,Implementing a TMDL,"$1,360 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,35,Lacey Street Rehabilitation Planning & Outreach,No,"BMP Design
Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$4,970 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,36,Anchor River Restoration,No,"BMP Design
BMP Implementation
Education/Information
",Other NPS Pollution,NOT APPLICABLE (NA),"$13,173 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,37,"Contract Lab Services Pollen Environmental, Summer FY22",No,"Education/Information
Monitoring Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$1,619 ",No,Completed,Will start on 07/01/2021,Will be Completed On 08/31/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,38,Kenai River Metals Monitoring,No,"Education/Information
Monitoring Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$42,781 ",No,Completed,Will start on 04/01/2021,Will be Completed On 09/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,39,Salcha River WQ Monitoring,No,"Education/Information
Monitoring Design
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$1,248 ",No,,Will start on 05/01/2021,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,1,Administration and Management of Alabama’s FY2018 Clean Water Act (CWA) Section 319 Nonpoint Source Program Funds,Yes,"BMP Design
NPS Grants Administration
Technical Assistance/Technology Transfer
Development of WBPs or Acceptable Alternatives
Implementing a Statewide Program (Regulatory or Non-Regulatory)
Other
NPS State Staff Activities
Education/Information
GIS/Modeling
Watershed Planning
Other Planning
",Agriculture; Construction; Hydromodification; Land Disposal/Storage/Treatment; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$837,566 ",No,On Schedule,Will start on 10/01/2019,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,2,Statewide Surface Water Quality Monitoring of Priority Wadeable Streams and Rivers,Yes,"Other Planning
Water Quality Assessment/Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$339,392 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,3,"Surface Water Quality Assessment of Rivers, Reservoirs and Tributary Embayments on a Statewide Rotation",Yes,"Other Planning
Water Quality Assessment/Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$173,932 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,4,"Alabama Coastal Nonpoint Pollution Control Program Project: Coastal Alabama Nonpoint Pollution Control Handbook, Guidance for Best Management Practices and Measures to Protect Coastal Waters",No,"Education/Information
Other Planning
",Other NPS Pollution,NOT APPLICABLE (NA),"$100,000 ",No,Pending,Will start on 10/01/2021,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,5,Holistic Management Approach to Protecting and Restoring Watershed Health and Improving Water Quality with the Development of Watershed Management Plans,No,"Education/Information
Watershed Planning
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$157,110 ",No,Pending,Will start on 10/01/2020,Will be Completed On 10/01/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,6,Dry Creek-Cahaba River Watershed Restoration Project,No,"BMP Implementation
Education/Information
",Agriculture; Land Disposal/Storage/Treatment,Developing a TMDL,$0 ,Yes,Discontinued,Will start on ,Will be Completed On 
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,7,Cowarts Creek Watershed Implementation Project,No,"BMP Implementation
Education/Information
",Agriculture,Developing a TMDL,$0 ,Yes,Discontinued,Will start on ,Will be Completed On 
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,8,Mulberry Creek Watershed Project,No,"BMP Implementation
Education/Information
",Agriculture,NOT APPLICABLE (NA),$0 ,Yes,Discontinued,Will start on ,Will be Completed On 
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,9,Browns Creek Watershed Implementation Project,No,"BMP Implementation
Education/Information
",Agriculture,NOT APPLICABLE (NA),"$200,700 ",Yes,Completed,Will start on 08/23/2019,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,10,Scarham Creek Watershed Project,No,"BMP Implementation
",Agriculture; Animal Feeding Operations,Implementing a TMDL,$0 ,Yes,Discontinued,Did start on ,Will be Completed On 
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,11,Pintlala Creek Watershed Project,No,"Animal Manure/Litter Management Projects
Livestock Control Projects
Vegetation Management/Revegetation
Stream Bank Stabilization
Sediment Control
Erosion Control Projects
Riparian Projects
BMP Implementation
Local (Specific Target) Education/Information Programs
Nonpoint Source Project Staffing
",Agriculture; Land Disposal/Storage/Treatment,Implementing a TMDL,$0 ,Yes,Discontinued,Did start on ,Will be Completed On 
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,12,French Mill Creek Watershed Project Phase II,No,"BMP Implementation
",Agriculture,Implementing a TMDL,$0 ,Yes,Discontinued,Did start on ,Completed on 
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,13,Unnamed Tributary to Tiawasee Creek Sub-Watershed Management Project,No,"BMP Implementation
",Hydromodification,Developing a TMDL,"$312,805 ",Yes,On Schedule,Will start on 10/15/2018,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,14,Ryan Creek Watershed Implementation Project,No,"BMP Implementation
",Agriculture; Animal Feeding Operations,Implementing a TMDL,"$222,321 ",Yes,On Schedule,Will start on 09/06/2019,Will be Completed On 09/30/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,15,Cross Creek Watershed Implementation Project,No,"BMP Implementation
Education/Information
",Agriculture; Animal Feeding Operations,Developing a TMDL,"$225,747 ",Yes,Completed,Will start on 08/23/2019,Will be Completed On 09/23/2021
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,16,Pathogen Reductions to Emuckfaw Creek: A Watershed Restoration Project,No,"BMP Implementation
Education/Information
",Agriculture; Land Disposal/Storage/Treatment,NOT APPLICABLE (NA),"$166,972 ",Yes,On Schedule,Will start on 01/15/2020,Will be Completed On 01/15/2022
AL,2018,96464618,AL DEPT OF ENVIRONMENTAL MANAGEMENT,17,Roebuck Municipal Golf Course Stream Restoration and Demonstration Project,No,"BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$379,455 ",Yes,Pending,Will start on 03/01/2020,Will be Completed On 09/30/2022
AZ,2018,97965719,SALT RIVER PIMA-MARICOPA INDIAN COMM,1,Riverine Area Erosion Mitigation Project,No,,Agriculture; Hydromodification,,"$100,000 ",No,,Will start on ,Will be Completed On 
AZ,2018,98961319,AZ DEPT OF ENV QUALITY,1,Stream Dynamics Babocomari Watershed Assessment ,No,"BMP Design
",Agriculture,Developing a TMDL,"$12,855 ",Yes,Completed,Will start on 01/24/2020,Will be Completed On 03/02/2020
AZ,2018,98961319,AZ DEPT OF ENV QUALITY,5,NPS 29 Total Match Funds ,No,,,,$0 ,Yes,,Will start on ,Will be Completed On 
AZ,2018,98961319,AZ DEPT OF ENV QUALITY,7,Stream Dynamics- O'Donnell Wetland Berm Repair (Spartacus Pond),No,,,,$0 ,Yes,,Will start on 01/04/2022,Will be Completed On 03/31/2022
AZ,2018,99T76401,HAVASUPAI TRIBE,1,Stabilization of Two Inundated Trails Adjacent to Havasu Creek and Removal  of Two Flood-Created Eutrophic Pooled Water Areas at Havasu Springs on the Havasupai Reservation,No,,Hydromodification,,"$100,000 ",No,,Will start on ,Will be Completed On 
AZ,2018,99T76401,HAVASUPAI TRIBE,2,"FY2020: Havasupi Tribe: Stabilization of an Inundated Trail Section, an Erosive Stream Crossing, and an Eroding Streambank and Foot Trail",No,,Hydromodification,,"$100,000 ",No,,Will start on ,Will be Completed On 
CA,2018,97957519,CA STATE WATER RES CTRL BRD,1,"Mendocino Coast TMDL Implementation Program, Phase 2",No,"BMP Implementation
",Hydromodification,Implementing a TMDL,"$717,134 ",Yes,On Schedule,Will start on 04/01/2019,Will be Completed On 02/28/2023
CA,2018,97957519,CA STATE WATER RES CTRL BRD,2,"PFR - Post-Fire BMPs In Mark West Creek, Maacama Creek, and Laguna de Santa Rosa Watersheds - PIN # 41226",No,"BMP Implementation
",Other NPS Pollution,NOT APPLICABLE (NA),"$500,000 ",Yes,On Schedule,Will start on 05/01/2019,Will be Completed On 12/31/2022
CA,2018,97957519,CA STATE WATER RES CTRL BRD,3,Napa River Restoration Oakville to Oak Knoll Project: Group B,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$421,180 ",Yes,On Schedule,Will start on 05/01/2019,Will be Completed On 07/31/2022
CA,2018,97957519,CA STATE WATER RES CTRL BRD,4,Post-Fire BMPs in the Sonoma Creek WS,No,"BMP Implementation
",Other NPS Pollution,Implementing a TMDL,"$400,000 ",Yes,On Schedule,Will start on 04/01/2019,Will be Completed On 07/31/2022
CA,2018,97957519,CA STATE WATER RES CTRL BRD,5,Post-Fire Recovery for Napa County to Address WQ and Habitat Restoration,No,"BMP Implementation
",Other NPS Pollution,Implementing a TMDL,"$500,000 ",Yes,On Schedule,Will start on 04/01/2019,Will be Completed On 07/31/2022
CA,2018,97957519,CA STATE WATER RES CTRL BRD,6,Carpinteria Creek Post-Fire Assessment ,No,"BMP Design
",Other NPS Pollution,Implementing a TMDL,"$99,565 ",No,Completed,Will start on 09/01/2018,Will be Completed On 04/30/2019
CA,2018,97957519,CA STATE WATER RES CTRL BRD,7,I - Lower Salinas WQ Improvement Project - PIN # 41716,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$509,117 ",Yes,Behind Schedule,Will start on 03/01/2019,Will be Completed On 04/30/2022
CA,2018,97957519,CA STATE WATER RES CTRL BRD,8,Mendo Complex Response - Post-Fire Recovery Project,No,"Other Restoration/Protection
",Other NPS Pollution,NOT APPLICABLE (NA),"$605,000 ",No,Completed,Will start on 09/01/2018,Will be Completed On 04/30/2019
CA,2018,97957519,CA STATE WATER RES CTRL BRD,9,"I - Implementation of BMPs in the Delta, A Comprehensive Pesticide Mgt Project to Improve WQ - PIN # 41893",No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$399,407 ",Yes,On Schedule,Will start on 03/01/2019,Will be Completed On 02/28/2024
CA,2018,97957519,CA STATE WATER RES CTRL BRD,10,Match Funds - Malibu Civic Center WW Treatment Facility - PIN # 27557,No,"BMP Implementation
",Land Disposal/Storage/Treatment,Implementing a TMDL,$0 ,Yes,,Will start on ,Will be Completed On 
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,1,Non Point Source Pollution Project – Filter Strip Implementation Project and Little Thompson Watershed Plan,No,"BMP Implementation
BMP Effectiveness Monitoring
",Agriculture,NOT APPLICABLE (NA),"$300,000 ",Yes,Discontinued,Will start on 04/17/2019,Will be Completed On 03/30/2023
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,2,Outreach and Education Mini-grants,Yes,"Education/Information
",Other NPS Pollution,NOT APPLICABLE (NA),"$35,000 ",No,,Will start on 10/01/2018,Will be Completed On 02/28/2023
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,3,Nonpoint Source Pollution Reduction in Lower Bear Creek – Phase II  ,No,"BMP Implementation
BMP Effectiveness Monitoring
Education/Information
",Urban Runoff/Stormwater,Developing a TMDL,"$96,314 ",Yes,On Schedule,Will start on 06/17/2019,Will be Completed On 02/28/2023
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,4,Vail - Restore the Gore- Westhaven Drive Nonpoint Source Treatment Project,No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$134,600 ",Yes,On Schedule,Will start on 07/29/2019,Will be Completed On 02/28/2023
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,7,First Creek Stream and Riparian Restoration,No,"BMP Implementation
Education/Information
",Hydromodification,NOT APPLICABLE (NA),"$300,000 ",Yes,,Will start on 03/15/2020,Will be Completed On 12/31/2022
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,8,Agricultural BMP Implementation and Evaluation Project and Little Thompson Watershed Plan,No,"BMP Implementation
BMP Effectiveness Monitoring
",Agriculture,Developing a TMDL,"$294,940 ",Yes,On Schedule,Will start on 09/04/2020,Will be Completed On 03/31/2023
CO,2018,99818618,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,11,Lower Beaver Creek – Brush Wetland Demonstration Project,No,"BMP Implementation
Education/Information
",Agriculture; Urban Runoff/Stormwater,Developing a TMDL,"$69,236 ",Yes,,Will start on 05/21/2021,Will be Completed On 06/30/2025
CT,2018,178018,CONNECTICUT DEEP,1,CRCCD NPS Management (Technical Assistance),No,"Education/Information
Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",No,On Schedule,Will start on 10/01/2018,Will be Completed On 09/30/2023
CT,2018,178018,CONNECTICUT DEEP,2,ECCD NPS Management (Technical Assistance) ,No,"Education/Information
Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",No,On Schedule,Will start on 04/22/2019,Will be Completed On 09/30/2021
CT,2018,178018,CONNECTICUT DEEP,3,NCCD NPS Management (Technical Assistance) ,No,"Education/Information
Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",No,On Schedule,Will start on 10/01/2018,Will be Completed On 09/30/2023
CT,2018,178018,CONNECTICUT DEEP,4,NWCD NPS Managment (Technical Assistance) ,No,,,,"$30,000 ",No,On Schedule,Will start on 09/25/2019,Will be Completed On 09/30/0021
CT,2018,178018,CONNECTICUT DEEP,5,CRCCD WBP Implementation Project -Deerfield Farm Nonpoint Source Improvements (see state projects 16-01/17-01/18-01/19-02),No,"Education/Information
Other Restoration/Protection
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",Yes,Not Initiated,Will start on 10/01/2018,Will be Completed On 09/30/2023
CT,2018,178018,CONNECTICUT DEEP,6,ECCD WBP Implementation Project (TBD),No,"BMP Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",Yes,Not Initiated,Will start on 10/01/2018,Will be Completed On 09/30/2023
CT,2018,178018,CONNECTICUT DEEP,7,NCCD WBP Implementation Project (TBD),No,"BMP Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",Yes,Not Initiated,Will start on 10/01/2018,Will be Completed On 09/30/2023
CT,2018,178018,CONNECTICUT DEEP,8,NWCD WBP Implementation Project (TBD),No,"BMP Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",Yes,On Schedule,Will start on 12/17/2021,Will be Completed On 08/31/2023
CT,2018,178018,CONNECTICUT DEEP,9,"NPS Outreach, Travel & Miscellaneous (DEEP)",No,"Education/Information
",Other NPS Pollution,NOT APPLICABLE (NA),"$5,000 ",No,Not Initiated,Will start on 10/01/2019,Will be Completed On 09/30/2023
CT,2018,178018,CONNECTICUT DEEP,10,Birch Plain Creek Stormwater Improvement - Baker Cove (ECCD),No,,,NOT APPLICABLE (NA),"$230,278 ",Yes,Not Initiated,Will start on ,Will be Completed On 
CT,2018,178018,CONNECTICUT DEEP,11,"French River Watershed-Based Plan Stormwater Management Implementations - North Grosvenordale, CT (ECCD)",No,,,,"$130,692 ",Yes,Not Initiated,Will start on ,Will be Completed On 
CT,2018,178018,CONNECTICUT DEEP,12,Implementation of WBP and Pollution Load Reduction in Norwalk River Watershed (Harbor Watch),No,,,,"$90,000 ",No,Not Initiated,Will start on ,Will be Completed On 
CT,2018,178018,CONNECTICUT DEEP,13,Watershed-Wide Action Plan for NPS Pollution Reduction in Deep Brook Basin (HVA),No,"Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,060 ",No,Not Initiated,Will start on 04/02/2020,Will be Completed On 
CT,2018,178018,CONNECTICUT DEEP,14,Hamden Town Center Park Stormwater BMP Practice Implementation (CFE/STS),No,,,,"$255,922 ",Yes,Not Initiated,Will start on ,Will be Completed On 
DC,2018,349618,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,1,Soil and Erosion Control Plan Review,Yes,"Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$150,367 ",No,Accepted by EPA,Will start on 10/01/2017,Will be Completed On 09/30/2018
DC,2018,349618,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,2,Program Administration and Grant Management,Yes,"Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$103,628 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
DC,2018,349618,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,3,DC School-Based Nonpoint Source Pollution Prevention Program and Adult Outreach,No,"BMP Design
Education/Information
Monitoring Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$80,483 ",Yes,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
DC,2018,349618,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,4,DC Watershed LID Retrofit Program,No,"BMP Design
BMP Implementation
",Urban Runoff/Stormwater,Implementing a TMDL,"$189,522 ",Yes,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
DC,2018,349618,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,5,DC Watershed Habitat Restoration,No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
",Urban Runoff/Stormwater,Implementing a TMDL,"$500,000 ",Yes,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
DE,2018,98312818,STATE OF DELAWARE DNREC,1,Delaware’s Nonpoint Source Program Administration,Yes,"NPS Grants Administration
NPS State Staff Activities
Education/Information
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$108,637 ",No,Accepted by EPA,Will start on 10/01/2017,Will be Completed On 09/30/2018
DE,2018,98312818,STATE OF DELAWARE DNREC,2,Delaware’s Nonpoint Source Program Technical and Programmatic Support ,Yes,"Technical Assistance/Technology Transfer
Implementing a Statewide Program (Regulatory or Non-Regulatory)
NPS State Staff Activities
Education/Information
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$368,984 ",No,Accepted by EPA,Will start on 10/01/2017,Will be Completed On 09/30/2018
DE,2018,98312818,STATE OF DELAWARE DNREC,3,Accelerate implementation of cost-effective approaches to reduce nutrients and sediment loading in the agriculture sector,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$622,500 ",Yes,Completed,Will start on 10/01/2017,Will be Completed On 07/28/2021
DE,2018,98312818,STATE OF DELAWARE DNREC,4,Accelerate implementation of cost-effective approaches to reduce nutrients and sediment loading in the urban sector (Project Placeholder for Priority Watershed Projects),No,"BMP Implementation
",Agriculture; Urban Runoff/Stormwater,Implementing a TMDL,"$1,991 ",Yes,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
DE,2018,98312818,STATE OF DELAWARE DNREC,5,Delaware Wild Lands 17-Acre Reforestation Project to Improve Water Quality & Habitat in the Appoquinimink Watershed,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$22,500 ",Yes,On Schedule,Will start on 11/01/2017,Will be Completed On 09/30/2022
DE,2018,98312818,STATE OF DELAWARE DNREC,6,Upper Christina River Stream Restoration Project - Continued Stream Restoration Efforts,No,"BMP Implementation
",Urban Runoff/Stormwater,Implementing a TMDL,"$25,000 ",Yes,On Schedule,Will start on 05/02/2022,Will be Completed On 09/30/2022
DE,2018,98312818,STATE OF DELAWARE DNREC,7,"Delaware Agriculture Planting of Trees, Grass Buffers, Pollinators and Wetland Creation Cost Share Program to Improve Delaware’s Water Resources",No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$25,000 ",Yes,On Schedule,Will start on 07/01/2021,Will be Completed On 09/30/2022
FL,2018,99451518,FL DEPT OF ENVIRONMENTAL PROTECTION,1,NPS/Watershed Management Program Administration,No,"NPS Grants Administration
Development of WBPs or Acceptable Alternatives
Development of TMDLs
NPS State Staff Activities
",,NOT APPLICABLE (NA),"$876,841 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
