State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
CA,2017,97957518,CA STATE WATER RES CTRL BRD,10,"PFR - Planning, Design, and Implementation of Best Management Practices on Fire Impacted Lands in Ventura County",No,"BMP Implementation
",Other NPS Pollution,Implementing a TMDL,"$187,720 ",Yes,Completed,Will start on 06/01/2018,Will be Completed On 07/31/2021
CA,2017,97957518,CA STATE WATER RES CTRL BRD,11,PFR - Redwood Fire Complex Recovery ,No,"BMP Implementation
Other Restoration/Protection
",Construction,Implementing a TMDL,"$89,969 ",Yes,Completed,Will start on 11/01/2017,Will be Completed On 03/31/2018
CA,2017,97957518,CA STATE WATER RES CTRL BRD,12,2017 California Coastal Commission Contract,Yes,"NPS State Staff Activities
Regulatory/Enforcement
",,NOT APPLICABLE (NA),"$496,061 ",No,,Will start on 03/01/2018,Will be Completed On 02/29/2020
CA,2017,99T59518,FORT INDEPENDENCE RESERVATION,1,Cultivating Water Quality Through Riparian Restoration,No,,Hydromodification,,"$100,000 ",No,,Will start on ,Will be Completed On 
CA,2017,99T64118,BISHOP INDIAN TRIBAL COUNCIL,1,FY2018: Bishop Paiute Tribe: Watershed project to restore water quality in Bishop Creek watershed ,No,,Agriculture; Hydromodification; Urban Runoff/Stormwater,,"$100,000 ",No,,Will start on ,Will be Completed On 
CA,2017,99T64118,BISHOP INDIAN TRIBAL COUNCIL,2,FY2017: Bishop Paiute Tribe: Watershed-Based Planning and Implementation of a Watershed Project to Restore NPS Impaired Waters for Cottonwood Wash on the Chemehuevi Indian Reservation,No,,Agriculture; Hydromodification; Urban Runoff/Stormwater,,"$100,000 ",No,,Will start on ,Will be Completed On 
CO,2017,96855318,SOUTHERN UTE INDIAN TRIBE,1,Spring Creek I Restoration Project,No,,Agriculture; Hydromodification,,"$100,000 ",No,,Will start on ,Will be Completed On 
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,1,Enhanced Selenium Characterization and Modeling for the Lower Arkansas River Basin,No,"GIS/Modeling
",Agriculture; Urban Runoff/Stormwater,Developing a TMDL,"$270,015 ",Yes,On Schedule,Will start on 02/09/2018,Will be Completed On 12/31/2020
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,2,LARV nonpoint source water quality and soil health initiatives ,No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
Education/Information
",Agriculture; Urban Runoff/Stormwater,Implementing a TMDL,"$651,834 ",Yes,On Schedule,Will start on 04/19/2018,Will be Completed On 09/30/2022
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,3,Nitrogen Management BMP Implementation and Relationship to Selenium Mitigation of Lower Arkansas Valley Subsurface Drainage Systems,No,"BMP Implementation
BMP Effectiveness Monitoring
",Agriculture; Urban Runoff/Stormwater,Developing a TMDL,"$84,044 ",Yes,Discontinued,Will start on 06/06/2018,Will be Completed On 12/31/2021
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,4,Lower Beaver Creek Watershed Plan - Wetland Demonstration Project,No,"Watershed Planning
",Agriculture; Animal Feeding Operations; Land Disposal/Storage/Treatment; Other NPS Pollution,Developing a TMDL,"$97,790 ",No,Completed,Will start on 05/15/2018,Will be Completed On 06/30/2021
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,5,Outreach and Education Mini-grants,Yes,"Education/Information
",Other NPS Pollution,NOT APPLICABLE (NA),"$35,000 ",No,,Will start on 09/20/2017,Will be Completed On 03/18/2022
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,6,Grand Valley Watershed Plan Update,No,"Watershed Planning
",Agriculture; Urban Runoff/Stormwater,Developing a TMDL,"$88,009 ",No,On Schedule,Will start on 07/29/2020,Will be Completed On 04/30/2022
CO,2017,99818617,CO DEPARTMENT OF PUBLIC HEALTH AND ENVIRONMENT,7,Data Analysis and Modeling Tools Using eRAMS,Yes,,,NOT APPLICABLE (NA),"$21,745 ",No,Completed,Will start on 12/07/2016,Will be Completed On 12/06/2021
CT,2017,178017,CONNECTICUT DEEP,1,ECCD - Mount Hope River Implementation Project - Perry Hill Estates,No,,,NOT APPLICABLE (NA),"$30,000 ",No,Not Initiated,Will start on ,Will be Completed On 
CT,2017,178017,CONNECTICUT DEEP,2,"NCCD - Oakridge Dairy Water Quality Improvements, Phases 1 & 2, Ellington, CT  (See also:  15-01b NCCD & 16-01 NCCD)  ",No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$5,500 ",Yes,Completed,Will start on 05/24/2019,Will be Completed On 09/30/0020
CT,2017,178017,CONNECTICUT DEEP,3,NWCD Implementation Project Bethel Dog Park and Bennett Memorial Park Stormwater BMPs  (see state project # 17-01/18-01/19-02a),No,"BMP Implementation
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,000 ",Yes,Not Initiated,Will start on 12/17/2021,Will be Completed On 08/31/2023
CT,2017,178017,CONNECTICUT DEEP,4,CRCCD Implementation Project - Deerfield Farm Nonpoint Source Improvements (see state projects 16-01/17-01/18-01/19-02),No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$30,000 ",Yes,Not Initiated,Will start on 02/11/2021,Will be Completed On 09/30/2022
CT,2017,178017,CONNECTICUT DEEP,5,ECCD NPS Management (Technical Assistance),No,"Education/Information
",Agriculture; Construction; Hydromodification; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,000 ",No,Completed,Will start on 05/09/2018,Will be Completed On 09/30/2020
CT,2017,178017,CONNECTICUT DEEP,6,NCCD NPS Management (Technical Assistance),No,"Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,000 ",No,Completed,Will start on 08/14/2018,Will be Completed On 09/30/2020
CT,2017,178017,CONNECTICUT DEEP,7,NWCD NPS Management (Technical Assistance),No,"Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,000 ",No,Completed,Will start on 08/14/2018,Will be Completed On 09/30/2020
CT,2017,178017,CONNECTICUT DEEP,8,CRCCD NPS Management (Technical Assistance),No,"Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,000 ",No,Completed,Will start on 05/31/2018,Will be Completed On 09/30/0020
CT,2017,178017,CONNECTICUT DEEP,9,"NPS Outreach, Travel & Miscellaneous (DEEP) (PROJECT CANCELLED - FUNDS REPROGRAMMED)",No,,,NOT APPLICABLE (NA),$0 ,No,Discontinued,Will start on 10/01/2017,Will be Completed On 10/01/2017
CT,2017,178017,CONNECTICUT DEEP,10,Anguilla Brook Trackdown and Watershed-Based Plan (ECCD),No,"Watershed Planning
Water Quality Assessment/Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$55,467 ",No,Completed,Will start on 05/07/2018,Will be Completed On 03/31/2021
CT,2017,178017,CONNECTICUT DEEP,11,Niantic River 4-Town Bio-Infiltration (ECCD) (See also 15-12),No,"BMP Implementation
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$160,000 ",Yes,On Schedule,Will start on 06/22/2020,Will be Completed On 09/30/2022
CT,2017,178017,CONNECTICUT DEEP,12,Still River Watershed Pollution Trackdown Survey (HVA),No,"Watershed Planning
Water Quality Assessment/Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$81,000 ",No,On Schedule,Will start on 09/03/2019,Will be Completed On 09/30/2022
CT,2017,178017,CONNECTICUT DEEP,13,Lake Pocotopaug Stormwater Retrofits (Town of East Hampton) ,No,"BMP Implementation
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$236,700 ",Yes,Completed,Will start on 09/01/2019,Will be Completed On 04/01/2021
CT,2017,178017,CONNECTICUT DEEP,14,DOT Park & Ride Tankerhoosen (NCCD) (PROJECT CANCELLED - REPROGRAMMED FUNDS),No,,,NOT APPLICABLE (NA),$0 ,No,Discontinued,Will start on 10/01/2017,Will be Completed On 10/01/2017
CT,2017,178017,CONNECTICUT DEEP,15,Norwalk River Stormwater Reduction Project at Middlebrook School Wilton (TU),No,"BMP Design
Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$89,999 ",No,Behind Schedule,Will start on 06/20/2018,Will be Completed On 09/30/2022
CT,2017,178017,CONNECTICUT DEEP,16,Still River Winsted WBP (FRWA) - CANCELLED (FUNDS TO BE REPROGRAMMED),No,,,NOT APPLICABLE (NA),$0 ,No,Discontinued,Will start on 10/01/2017,Will be Completed On 10/01/2017
CT,2017,178017,CONNECTICUT DEEP,17,Lower Natchaug River Stormwater BMP's (ECCD),No,"BMP Implementation
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$45,250 ",Yes,Behind Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2022
CT,2017,178017,CONNECTICUT DEEP,18,Lake Hayward Infiltration Basin,No,"BMP Implementation
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$16,500 ",Yes,On Schedule,Will start on 10/01/2021,Will be Completed On 08/31/2021
CT,2017,178017,CONNECTICUT DEEP,19,Little River Agricultural Waste Storage and Management (see state projects # 16-13/18-04/19-04),No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$92,000 ",Yes,On Schedule,Will start on 09/24/2021,Will be Completed On 08/31/2022
CT,2017,178017,CONNECTICUT DEEP,20,Broad Brook Agricultural Waste Management Design (see state project 17-01 and 18-01b),No,"BMP Design
",Agriculture,NOT APPLICABLE (NA),"$52,273 ",No,On Schedule,Will start on 12/17/2021,Will be Completed On 08/31/2022
DC,2017,349617,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,1,Soil and Erosion Control Plan Review,Yes,"Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$150,878 ",No,Accepted by EPA,Will start on 10/01/2016,Will be Completed On 09/30/2017
DC,2017,349617,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,2,Program Administration and Grant Management,Yes,"Watershed Planning
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$84,614 ",No,Accepted by EPA,Will start on 10/01/2016,Will be Completed On 09/30/2017
DC,2017,349617,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,3,DC School-Based Nonpoint Source Pollution Prevention Program and Adult Outreach,No,"BMP Design
Education/Information
Monitoring Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$80,904 ",Yes,Accepted by EPA,Will start on 10/01/2016,Will be Completed On 09/30/2019
DC,2017,349617,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,4,DC Watershed LID Retrofit Program,No,"BMP Design
BMP Implementation
",Urban Runoff/Stormwater,Implementing a TMDL,"$187,604 ",Yes,On Schedule,Will start on 10/01/2016,Will be Completed On 09/30/2022
DC,2017,349617,DISTRICT OF COLUMBIA GOVT OF DBA DEPARTMENT OF ENE,5,DC Watershed Habitat Restoration,No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
Monitoring Design
",Urban Runoff/Stormwater,Implementing a TMDL,"$500,000 ",Yes,On Schedule,Will start on 10/01/2016,Will be Completed On 09/30/2022
DE,2017,98312817,STATE OF DELAWARE DNREC,1,NPS Administration,Yes,"NPS Grants Administration
NPS State Staff Activities
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$116,167 ",No,Accepted by EPA,Did start on 10/01/2016,Will be Completed On 03/31/2018
DE,2017,98312817,STATE OF DELAWARE DNREC,2,NPS Program Management,Yes,"NPS Grants Administration
Implementing a Statewide Program (Regulatory or Non-Regulatory)
NPS State Staff Activities
Education/Information
GIS/Modeling
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$315,862 ",No,Accepted by EPA,Did start on 10/01/2016,Will be Completed On 02/28/2018
DE,2017,98312817,STATE OF DELAWARE DNREC,3,Sussex Conservation District Planners,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$198,900 ",Yes,Accepted by EPA,Did start on 10/01/2016,Will be Completed On 02/28/2018
DE,2017,98312817,STATE OF DELAWARE DNREC,4,Kent Conservation District Planners,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$63,470 ",Yes,Accepted by EPA,Did start on 10/01/2016,Completed on 02/28/2018
DE,2017,98312817,STATE OF DELAWARE DNREC,5,Nutrient Management Relocation,Yes,"BMP Implementation
",Agriculture,Implementing a TMDL,"$100,000 ",Yes,Accepted by EPA,Will start on 01/01/2017,Will be Completed On 12/31/2017
DE,2017,98312817,STATE OF DELAWARE DNREC,6,Nutrient Management Coordinator,No,"Statewide Education/Information Programs
",Agriculture,Implementing a TMDL,"$30,000 ",Yes,Accepted by EPA,Will start on 01/01/2017,Will be Completed On 12/31/2017
DE,2017,98312817,STATE OF DELAWARE DNREC,7,CREP Program Coordinator,Yes,"BMP Implementation
",Agriculture,Implementing a TMDL,"$75,000 ",Yes,Accepted by EPA,Did start on 01/01/2017,Completed on 12/31/2017
DE,2017,98312817,STATE OF DELAWARE DNREC,8,Ag BMP Cost-Share,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$95,991 ",Yes,Accepted by EPA,Will start on 10/01/2016,Completed on 07/31/2019
DE,2017,98312817,STATE OF DELAWARE DNREC,9,Priority Watersheds,No,"BMP Implementation
",Agriculture; Urban Runoff/Stormwater,Implementing a TMDL,"$120,112 ",Yes,On Schedule,Will start on 10/01/2016,Will be Completed On 09/30/2022
DE,2017,98312817,STATE OF DELAWARE DNREC,10,Stream Restoration,No,"BMP Implementation
",Urban Runoff/Stormwater,Implementing a TMDL,"$58,000 ",Yes,On Schedule,Will start on 10/01/2020,Will be Completed On 09/30/2022
DE,2017,98312817,STATE OF DELAWARE DNREC,11,Ecological Restoration-Wetland and Channel Restoration,No,"BMP Implementation
",Agriculture,Implementing a TMDL,$0 ,Yes,Never Initiated,Will start on 10/01/2020,Will be Completed On 12/29/2020
DE,2017,98312817,STATE OF DELAWARE DNREC,12,GRTS Tracking Coordination,Yes,"Implementing a Statewide Program (Regulatory or Non-Regulatory)
NPS State Staff Activities
",Other NPS Pollution,NOT APPLICABLE (NA),$0 ,No,Accepted by EPA,Will start on 10/01/2016,Will be Completed On 09/30/2017
DE,2017,98312817,STATE OF DELAWARE DNREC,13,Mid-Atlantic States Training Workshop,Yes,"Education/Information
",Agriculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$20,000 ",No,Accepted by EPA,Will start on 10/01/2019,Will be Completed On 10/31/2020
DE,2017,98312817,STATE OF DELAWARE DNREC,14,Inland Bays Reforestation,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$29,999 ",Yes,Accepted by EPA,Will start on 10/01/2016,Will be Completed On 10/31/2017
DE,2017,98312817,STATE OF DELAWARE DNREC,15,Streetscapes,No,"BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$10,000 ",Yes,Accepted by EPA,Will start on 05/01/2018,Will be Completed On 01/17/2020
DE,2017,98312817,STATE OF DELAWARE DNREC,16,Shoreline Stabilization,No,"BMP Implementation
",Marinas and Recreational Boating; Urban Runoff/Stormwater,Implementing a TMDL,"$22,000 ",Yes,On Schedule,Will start on 11/30/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,1,NPS/Watershed Management Program Administration,Yes,"NPS Grants Administration
Implementing a Statewide Program (Regulatory or Non-Regulatory)
NPS State Staff Activities
",Agriculture; Construction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$1,503,995 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,3,Green Industries BMP Training for Professional Landscapers to Reduce Non-point Source Pollution,Yes,"Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$128,034 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,4,Bioassessment Development and Quality Assurance,Yes,"Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$260,282 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,5,Continued Expansion and Sustainability of The Florida-Friendly Landscaping Program to Protect Water Quality From Stormwater Runoff and Nonpoint Source Pollution,Yes,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
Regulatory/Enforcement
",Agriculture; Animal Feeding Operations; Silviculture; Turf Management; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$530,776 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,6,"Willoughby Creek, Martin County",No,"Education/Information
Other Planning
Water Quality Assessment/Monitoring
",Turf Management; Urban Runoff/Stormwater,Implementing a TMDL,"$475,200 ",Yes,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,7,"McCarty Ranch Water Farming, Port St. Lucie",No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
Education/Information
",Agriculture; Urban Runoff/Stormwater,Implementing a TMDL,"$425,103 ",Yes,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,8,"Nalle Grade Stormwater, Lee County",No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$500,000 ",Yes,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,9,FDEP Education Project,Yes,"Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$1,092,179 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,11,"Think About Personal Pollution (TAPP), City of Tallahassee",No,"Education/Information
",Construction,Implementing a TMDL,"$320,000 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,13,Best Management Practices for Non-Proprietary Passive Nitrogen Reducing Onsite Sewage Treatment and Disposal Systems,Yes,"BMP Effectiveness Monitoring
",Land Disposal/Storage/Treatment,Implementing a TMDL,"$72,000 ",No,Completed,Will start on 10/01/2016,Will be Completed On 03/31/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,14,N CR 427 Area Septic Tank Removal,No,"BMP Implementation
",Land Disposal/Storage/Treatment,Implementing a TMDL,"$105,447 ",Yes,Completed,Will start on 10/01/2016,Will be Completed On 09/30/2021
FL,2017,99451517,FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,15,East Longwood Phase 2,No,"BMP Implementation
",Land Disposal/Storage/Treatment,Implementing a TMDL,"$183,209 ",Yes,Completed,Will start on 02/15/2019,Will be Completed On 09/30/2021
