State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,1,Upper Cache River Watershed Monitoring,No,"BMP Effectiveness Monitoring
",Agriculture,Implementing a TMDL,"$631,469 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 12/31/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,2,Water Quality Monitoring in the Upper Poteau River Watershed,No,"BMP Effectiveness Monitoring
",Agriculture; Animal Feeding Operations; Other NPS Pollution,NOT APPLICABLE (NA),"$415,415 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 12/31/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,3,Water Quality Monitoring for the Bayou Bartholomew Watershed,No,"BMP Effectiveness Monitoring
",Agriculture,Implementing a TMDL,"$497,786 ",No,Completed,Will start on 10/01/2017,Will be Completed On 12/06/2021
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,4,Lake Conway-Point Remove Watershed Monitoring and Alliance (LCPRWA),No,"BMP Effectiveness Monitoring
",Agriculture; Other NPS Pollution,NOT APPLICABLE (NA),"$74,496 ",No,Completed,Will start on 10/01/2017,Will be Completed On 07/30/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,5,Ecological Evaluation of Priority Subwatersheds in the Illinois River Watershed,No,"Other Restoration/Protection
",Agriculture; Animal Feeding Operations; Construction; Historical Pollutants; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$46,530 ",No,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2019
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,6,Lower St. Francis River Watershed Cost-Share Project ,No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$75,000 ",Yes,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,7,Poteau River Sub Watershed Project,No,"BMP Implementation
",Agriculture; Animal Feeding Operations,NOT APPLICABLE (NA),"$131,667 ",Yes,Completed,Will start on 10/01/2017,Will be Completed On 09/30/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,8,West Fork Stream Restoration at Brentwood Mountain,No,"Other Restoration/Protection
",Agriculture; Construction; Urban Runoff/Stormwater,Implementing a TMDL,"$355,256 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,9,Implementing Green Infrastructure Elements for Enhanced Water Quality in the Beaver Lake Watershed,No,"BMP Implementation
Other Restoration/Protection
",Construction; Urban Runoff/Stormwater,Implementing a TMDL,"$499,783 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 12/01/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,10,Supplemental Cost Share Project,No,"BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$414,598 ",No,On Schedule,Will start on 10/01/2017,Will be Completed On 09/30/2021
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,11,White River Watershed Monitoring,No,"BMP Effectiveness Monitoring
",Agriculture; Animal Feeding Operations; Urban Runoff/Stormwater,Implementing a TMDL,"$380,126 ",No,Completed,Will start on 10/01/2017,Will be Completed On 12/31/2020
AR,2017,99610325,ARKANSAS NATURAL RESOURCES COMMISSION,12,Arkansas Unpaved Roads Program Support,No,"Other Planning
",Other NPS Pollution,NOT APPLICABLE (NA),"$54,400 ",No,On Schedule,Will start on 10/01/2020,Will be Completed On 10/01/2022
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,1,San Pedro Watershed - Sonora Mexico ,No,"BMP Design
Education/Information
",Agriculture; Urban Runoff/Stormwater,Implementing a TMDL,"$300,000 ",Yes,Behind Schedule,Will start on 12/17/2018,Will be Completed On 12/31/2021
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,2,KOUI- 3R Mine Remediation ,No,"BMP Design
Other Planning
Water Quality Assessment/Monitoring
",Resource Extraction,Implementing a TMDL,"$142,662 ",Yes,On Schedule,Will start on 11/16/2020,Will be Completed On 12/31/2021
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,5,NFF Social Trail Rehabilation at Pullouts,No,"BMP Design
BMP Implementation
BMP Effectiveness Monitoring
Monitoring Design
",Other NPS Pollution; Urban Runoff/Stormwater,Implementing a TMDL,"$80,000 ",Yes,On Schedule,Will start on 11/04/2019,Will be Completed On 10/31/2021
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,6,OCWC High Impact Water Quality Sampling ,No,"BMP Implementation
",Other NPS Pollution,Implementing a TMDL,"$100,000 ",Yes,On Schedule,Will start on 11/04/2019,Will be Completed On 06/30/2024
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,8,Webber Creek Watershed Preservation ,No,"BMP Design
BMP Implementation
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$320,173 ",Yes,On Schedule,Will start on 09/11/2018,Will be Completed On 11/30/2021
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,9,Cienega Creek Watershed Erosion Control ,No,"BMP Design
BMP Implementation
",Agriculture,NOT APPLICABLE (NA),"$138,028 ",Yes,On Schedule,Will start on 09/26/2018,Will be Completed On 06/30/2022
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,13,NPS 28 Total Match Funds ,No,,,,$0 ,Yes,,Will start on ,Will be Completed On 
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,14,O'Donnell Wetland Repair  (Spartacus Pond),No,"BMP Design
BMP Implementation
",,NOT APPLICABLE (NA),"$20,000 ",Yes,,Will start on ,Will be Completed On 
AZ,2017,98961318,AZ DEPT OF ENV QUALITY,16,Fossil Creek DNA Study ,No,,,,"$12,128 ",Yes,,Will start on ,Will be Completed On 
CA,2017,97957518,CA STATE WATER RES CTRL BRD,1,Match Funds - Malibu Civic Center WW Treatment Facility - PIN # 27557,No,"BMP Implementation
",Land Disposal/Storage/Treatment,Implementing a TMDL,$0 ,Yes,Completed,Will start on 04/29/2016,Will be Completed On 12/31/2017
CA,2017,97957518,CA STATE WATER RES CTRL BRD,2,I - Lagunitas Creek Floodplain Restoration & Sediment Reduction Project - PIN 37347,No,"BMP Implementation
",Hydromodification,Implementing a TMDL,"$800,000 ",Yes,Completed,Will start on 06/01/2018,Will be Completed On 07/31/2021
CA,2017,97957518,CA STATE WATER RES CTRL BRD,3,I - Upgrading Dairies & Ranches Sustainably in TMDL Watersheds (UDRS) - PIN 37374,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$687,500 ",Yes,On Schedule,Will start on 06/01/2018,Will be Completed On 02/28/2022
CA,2017,97957518,CA STATE WATER RES CTRL BRD,4,I - Upper Zayante Creek Stream Wood Enhancement Project - PIN 37412,No,"BMP Implementation
",Hydromodification; Other NPS Pollution; Silviculture; Urban Runoff/Stormwater,Implementing a TMDL,"$498,426 ",Yes,Completed,Will start on 05/23/2018,Will be Completed On 05/31/2021
CA,2017,97957518,CA STATE WATER RES CTRL BRD,5,I - Reducing Sediment in Squaw Creek through Meadow Restoration - PIN 37441,No,"BMP Implementation
",Hydromodification,Implementing a TMDL,"$782,454 ",Yes,On Schedule,Will start on 03/01/2018,Will be Completed On 03/31/2022
CA,2017,97957518,CA STATE WATER RES CTRL BRD,6,I - Truckee River Tributaries Sediment Reduction - PIN 37407,No,"BMP Implementation
",Silviculture,Implementing a TMDL,"$524,640 ",Yes,On Schedule,Will start on 04/01/2018,Will be Completed On 01/31/2022
CA,2017,97957518,CA STATE WATER RES CTRL BRD,7,I - Implementing Ag Mgt Measures to Reduce Nutrient & Pesticide Loading In Calleguas Creek WS - PIN 37427,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$600,000 ",Yes,On Schedule,Will start on 06/01/2018,Will be Completed On 02/28/2022
CA,2017,97957518,CA STATE WATER RES CTRL BRD,8,Cancelled I - Sprague River Diffuse Source Treatment Wetlands - PIN 37450,No,"BMP Implementation
",Agriculture,Implementing a TMDL,"$371,860 ",Yes,Discontinued,Will start on 05/01/2018,Will be Completed On 07/31/2021
