State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,1,Stormwater Analysis on Cottonwood Creek,No,"GIS/Modeling
Other Planning
",Urban Runoff/Stormwater,Implementing a TMDL,"$28,376 ",No,Completed,Did start on 07/11/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,2,Duck Creek Nancy Street Wetland Assessment,No,"BMP Effectiveness Monitoring
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$9,979 ",No,Completed,Did start on 07/01/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,3,Slowing it Down - Wetland Creation for Sawmill Creek,No,"BMP Design
BMP Implementation
Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$14,652 ",No,Completed,Did start on 08/04/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,4,Snow Removal Bioswales in Haines,No,"BMP Design
BMP Implementation
Education/Information
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$10,863 ",No,Completed,Did start on 07/05/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,5,Assess Existing Waterfowl BMPs on Fish Creek,No,"BMP Design
BMP Effectiveness Monitoring
",Other NPS Pollution; Turf Management,Implementing a TMDL,"$8,500 ",No,Completed,Did start on 07/01/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,6,Kenai River Zinc and Copper Pollution Review,No,"BMP Design
BMP Effectiveness Monitoring
Monitoring Design
",Construction; Land Disposal/Storage/Treatment; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$14,983 ",No,Completed,Did start on 07/01/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,7,Green Infrastructure Filtration for Odiak Pond,No,"BMP Design
BMP Implementation
Education/Information
",Construction; Hydromodification; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$47,891 ",No,Completed,Did start on 07/11/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,8,Clean Boating in the Susitna Valley and Cook Inlet,No,"Education/Information
",Marinas and Recreational Boating,Implementing a TMDL,"$30,500 ",No,Completed,Did start on 07/01/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,9,Green Streets and Noyes Slough Assessment,No,"BMP Effectiveness Monitoring
Education/Information
Water Quality Assessment/Monitoring
",Other NPS Pollution; Urban Runoff/Stormwater,Implementing a TMDL,"$10,500 ",No,Completed,Did start on 07/11/2016,Will be Completed On 06/30/2017
AK,2016,00J84603,AK DEPT OF ENVIRON CONSERV,10,Cuddy Park Ponds Rehabilitation,No,"BMP Design
BMP Implementation
Education/Information
",Other NPS Pollution; Turf Management,Implementing a TMDL,"$30,000 ",Yes,Completed,Did start on 07/01/2016,Will be Completed On 05/22/2017
