"","stream.nitrate.trend","stream.ammonium.trend","stream.tp.trend","stream.tn.trend","lake.tn.trend","lake.tp.trend"
"stream.nitrate.trend",1,0.239717798692643,0.165878299602591,0.484624828558553,0.0962083746088109,-0.085122021483371
"stream.ammonium.trend",0.239717798692643,1,0.172367960421199,-0.209631578592887,0.174507953224445,-0.136160106681222
"stream.tp.trend",0.165878299602591,0.172367960421199,1,0.323174623142319,-0.254256393009955,-0.0192237554090365
"stream.tn.trend",0.484624828558553,-0.209631578592887,0.323174623142319,1,-0.0467156018370374,0.203303002672497
"lake.tn.trend",0.0962083746088109,0.174507953224445,-0.254256393009955,-0.0467156018370374,1,0.604184119560102
"lake.tp.trend",-0.085122021483371,-0.136160106681222,-0.0192237554090365,0.203303002672497,0.604184119560102,1
