"policy.variable","nutrient","bottom","first","median","third","top"
"319 dollars","lake_TN",-0.00568620900227613,-0.0021952980767183,-0.000325088974164579,0.00169187600082422,0.00603662843940385
"319 dollars","lake_TP",-0.000438358622518276,-6.69101222042795e-05,0.000129927972946356,0.000335497233721297,0.000707597118831792
"319 dollars","stream_ammonium",-0.000587468894533611,0.00149237747867191,0.00259340874773328,0.00377571178920129,0.00581526127369143
"319 dollars","stream_nitrate",-0.00408978128470871,-0.00189920413194136,-0.000764523816573192,0.000549548901166457,0.00300805658750969
"319 dollars","stream_TN",-0.00457352055120212,-0.00280164171012152,-0.00187129042015274,-0.000826139544163248,0.00117514123425442
"319 dollars","stream_TP",-0.000438570003965603,-0.000185428683892269,-6.71290856706142e-05,6.96818529609279e-05,0.000283901101453575
"Nutrient Criteria","lake_TN",-5.36200236862892,-1.28736080129897,0.809733118311691,2.97565692372931,7.39315336668674
"Nutrient Criteria","lake_TP",-1.53187292966045,-0.692900065336208,-0.239137627441662,0.227549812481885,1.13434508822432
"Nutrient Criteria","stream_ammonium",-2.75332813689287,-0.790138181634642,0.131369036406247,1.05524951036608,2.89855713023154
"Nutrient Criteria","stream_nitrate",-3.32919870552845,-1.89317332013737,-1.14409092162246,-0.33525726644313,1.24063173102285
"Nutrient Criteria","stream_TN",-5.01808497311053,-3.83812654724964,-3.22096488499713,-2.51862550999143,-1.37311714863359
"Nutrient Criteria","stream_TP",-0.615681496563235,-0.340049742129452,-0.195523442246592,-0.0388723138478915,0.215845755948567
"tmdl","lake_TN",-131.894153692615,-48.0429995115853,-0.230031912951375,46.9637916012371,144.805320152022
"tmdl","lake_TP",-14.1625370514452,-5.54339464989255,-1.0196243906728,2.92209908022829,11.9097661733781
"tmdl","stream_ammonium",-141.28151634528,-72.9978492458647,-36.6435114227889,-2.3514461612168,64.1737850063052
"tmdl","stream_nitrate",-197.611081025823,-100.568150177044,-53.7398974519199,-9.07669425090771,74.2338606873351
"tmdl","stream_TN",-287.183893660213,-210.748678310538,-166.20814416757,-120.03200783598,-41.4014523623513
"tmdl","stream_TP",-17.9044220165409,-13.1182684118036,-10.5476786966095,-7.8061317684932,-2.86806058091965
