"","stream.nitrate.trend","stream.ammonium.trend","stream.tp.trend","stream.tn.trend","lake.tn.trend","lake.tp.trend"
"stream.nitrate.trend",1,1,0.550657569227385,0.585262153193365,-0.302084694732442,0.495174146193785
"stream.ammonium.trend",1,1,0.550657569227385,0.585262153193365,-0.302084694732442,0.495174146193785
"stream.tp.trend",0.550657569227385,0.550657569227385,1,0.367295514295363,0.0232715931801685,0.358781366058353
"stream.tn.trend",0.585262153193365,0.585262153193365,0.367295514295363,1,-0.0431539016391356,0.394943462039311
"lake.tn.trend",-0.302084694732442,-0.302084694732442,0.0232715931801685,-0.0431539016391356,1,0.277307854727967
"lake.tp.trend",0.495174146193785,0.495174146193785,0.358781366058353,0.394943462039311,0.277307854727967,1
