"date","state","tn","tn.flag","tn.qa.flag","tp","tp.flag","tp.qa.flag","site.type","lat","lon","siteID","weight"
2007-09-05,"CT",338,NA,NA,14,NA,NA,"PROB_Lake",41.6969929,-73.36398551,"NLA06608-0037",21.5571734
2007-07-12,"VT",158,NA,NA,4,NA,NA,"PROB_Lake",44.7975912,-71.86971736,"NLA06608-0038",35.0455954
2007-08-27,"VT",113,NA,NA,3,NA,NA,"PROB_Lake",44.7975912,-71.86971736,"NLA06608-0038",35.0455954
2007-06-12,"WV",476,NA,NA,1,NA,NA,"PROB_Lake",38.2269409,-80.85405519,"NLA06608-0041",23.8995004
2007-07-11,"WV",370,NA,NA,1,NA,NA,"PROB_Lake",38.2269409,-80.85405519,"NLA06608-0041",23.8995004
2007-06-22,"WY",213,NA,NA,15,NA,NA,"PROB_Lake",44.4582352,-107.0403753,"NLA06608-0042",9.8325081
2007-07-06,"WY",147,NA,NA,5,NA,NA,"PROB_Lake",44.4582352,-107.0403753,"NLA06608-0042",9.8325081
2007-07-31,"IN",645,NA,NA,9,NA,NA,"PROB_Lake",41.553395,-85.44424168,"NLA06608-0043",10.8311005
2007-08-15,"IN",714,NA,NA,11,NA,NA,"PROB_Lake",41.553395,-85.44424168,"NLA06608-0043",10.8311005
2007-07-18,"NE",4108,NA,NA,601,NA,NA,"PROB_Lake",42.4048448,-101.7024805,"NLA06608-0044",4.1608113
2007-07-30,"NE",6741,NA,NA,523,NA,NA,"PROB_Lake",42.4048448,-101.7024805,"NLA06608-0044",4.1608113
2007-06-26,"VA",648,NA,NA,54,NA,NA,"PROB_Lake",37.2932049,-77.88986113,"NLA06608-0045",18.6834939
2007-08-02,"VA",430,NA,NA,60,NA,NA,"PROB_Lake",37.2932049,-77.88986113,"NLA06608-0045",18.6834939
2007-08-02,"MO",773,NA,NA,111,NA,NA,"PROB_Lake",36.7872968,-89.17572548,"NLA06608-0048",200.6912525
2007-09-18,"MO",1004,NA,NA,84,NA,NA,"PROB_Lake",36.7872968,-89.17572548,"NLA06608-0048",200.6912525
2007-08-15,"OR",256,NA,NA,15,NA,NA,"PROB_Lake",45.0623267,-117.1533553,"NLA06608-0049",16.3981468
2007-07-02,"NH",303,NA,NA,16,NA,NA,"PROB_Lake",43.4460179,-71.80868659,"NLA06608-0050",83.2859528
2007-08-30,"NH",399,NA,NA,18,NA,NA,"PROB_Lake",43.4460179,-71.80868659,"NLA06608-0050",83.2859528
2007-08-23,"NY",246,NA,NA,29,NA,NA,"PROB_Lake",43.558193,-73.43960723,"NLA06608-0053",8.4183112
2007-09-27,"NY",275,NA,NA,19,NA,NA,"PROB_Lake",43.558193,-73.43960723,"NLA06608-0053",8.4183112
2007-06-16,"NC",1756,NA,NA,218,NA,NA,"PROB_Lake",34.9618921,-80.51686138,"NLA06608-0057",11.5648715
2007-07-14,"NC",939,NA,NA,212,NA,NA,"PROB_Lake",34.9618921,-80.51686138,"NLA06608-0057",11.5648715
