"","policy","nutreint_type","variable","value"
"126","criteria","Lake TN","new_value",-0.134018828475164
"127","tmdl","Lake TN","new_value",-61.3134663882966
"128","319","Lake TN","new_value",0.00565326779932491
"129","criteria","Lake TN","new_value",11.6528899652451
"130","tmdl","Lake TN","new_value",79.1639611209342
"131","319","Lake TN","new_value",-0.000965355137991856
"132","criteria","Lake TN","new_value",2.25592922587762
"133","tmdl","Lake TN","new_value",-90.4910028270881
"134","319","Lake TN","new_value",0.00296431607228438
"135","criteria","Lake TN","new_value",9.17911147868898
"136","tmdl","Lake TN","new_value",-69.985383047072
"137","319","Lake TN","new_value",-0.012088514033365
"138","criteria","Lake TN","new_value",-3.08229402283807
"139","tmdl","Lake TN","new_value",8.16178260635969
"140","319","Lake TN","new_value",0.00551266803238397
"141","criteria","Lake TN","new_value",9.77789504494319
"142","tmdl","Lake TN","new_value",84.1775640873607
"143","319","Lake TN","new_value",0.00331912145453974
"144","criteria","Lake TN","new_value",1.31165356718718
"145","tmdl","Lake TN","new_value",-19.7279440425525
"146","319","Lake TN","new_value",-0.00391767029321084
"147","criteria","Lake TN","new_value",-7.55972830353002
"148","tmdl","Lake TN","new_value",103.716147321991
"149","319","Lake TN","new_value",5.63323668095958e-05
"150","criteria","Lake TN","new_value",13.5118947079455
"151","tmdl","Lake TN","new_value",45.2194726157881
"152","319","Lake TN","new_value",-0.00220174131799891
"153","criteria","Lake TN","new_value",4.03760967916411
"154","tmdl","Lake TN","new_value",76.9881524532369
"155","319","Lake TN","new_value",-0.00723452204799362
"156","criteria","Lake TN","new_value",6.41094676702277
"157","tmdl","Lake TN","new_value",-7.45304892613555
"158","319","Lake TN","new_value",0.00125154467230574
"159","criteria","Lake TN","new_value",9.24464571169645
"160","tmdl","Lake TN","new_value",-80.5346035920656
"161","319","Lake TN","new_value",0.0118940590294583
"162","criteria","Lake TN","new_value",-2.06255258401296
"163","tmdl","Lake TN","new_value",80.9075484563721
"164","319","Lake TN","new_value",-0.00493060039432726
"165","criteria","Lake TN","new_value",4.74133961681593
"166","tmdl","Lake TN","new_value",39.8473690567347
