"state","SLRW_Trend_Estimate","SLR_Trend_Estimate","diff_slrw_slr","sign_switch_slrw_slr","SLRW_Intercept_Estimate","SLR_Intercept_Estimate","SLRW_Trend_Error","SLR_Trend_Error"
"AL",21.4276259721715,13.6258938992042,7.801732,FALSE,245.908677818464,248.953448275862,28.8223941232546,26.874756420347
"CA",-25.2936001435427,-58.8872487745096,33.593649,FALSE,400.784782125179,724.698106617646,41.9286824267188,56.8688758095998
"CO",4.13458859680497,2.65688212927757,1.477706,FALSE,69.2092492593922,118.770342205323,0.257064409980759,7.45897286949341
"CT",24.9307412652337,13.388911717496,11.54183,FALSE,307.668661472903,396.213194221509,1.11972309353488,14.2352802666395
"DE",162.559886518657,103.461808333333,59.098078,FALSE,683.442363019988,1145.369375,122.378087827466,44.7919643463385
"FL",-22.0213546829041,-21.628,0.393355,FALSE,276.20700920001,277.06,7.85588645583231,9.60588949329498
"GA",-7.14267824385506,-4.41788387096774,2.724794,FALSE,277.521989588319,262.465751152074,0.698926111548342,9.4087370427133
"IA",192.182325680433,268.534849979106,76.352524,FALSE,6285.60246032164,5721.4568992896,544.116000127242,190.472999039383
"ID",3.35794496995461,4.06628865979381,0.708344,FALSE,87.4355989649605,105.354639175258,11.1766379231015,13.2210709101699
"IL",-89.2814905733684,-95.1390870032223,5.857596,FALSE,3658.87218051748,3484.37416756176,239.68146055556,122.073683646232
"IN",-34.4820271731299,-58.4002654462242,23.918238,FALSE,1670.62252953762,1887.91449275362,85.4542822129416,70.3580461624654
"KS",37.3682186754412,2.64652627915072,34.721692,FALSE,461.038023341634,739.684792899408,5.59948738425067,28.5866917862773
"KY",-138.605375836074,-20.5772307692307,118.028145,FALSE,1621.26859462112,744.463846153846,99.3080996481075,34.3863088879122
"LA",13.4548334259668,14.9900626631854,1.535229,FALSE,167.916180170911,189.804621409922,14.4537580006926,20.4019538802603
"MA",-22.4784113506017,-6.37043458980042,16.107977,FALSE,932.849752253603,706.307871396896,61.4857816518758,60.4970990118109
"MD",48.2095743391683,54.13725795053,5.927684,FALSE,1710.08779712409,1452.6577385159,187.86358768792,68.5452675534729
"ME",-5.66424161978576,-7.38147959183673,1.717238,FALSE,89.7547492275575,96.3316326530611,1.8836225474785,1.96856884621364
"MI",-7.40278466628151,11.6087663015128,19.011551,TRUE,818.43062012466,659.181896191967,94.6986880116205,45.0769503909794
"MN",44.7038405494957,-170.173746284501,214.877587,TRUE,2575.59691446448,3914.80633227176,497.545969470256,183.240650559338
"MO",-32.7280178001975,-42.1421705426357,9.414153,FALSE,1234.57869147906,1353.97511627907,93.8787079690754,74.1626652527818
"MS",-6.76684212982362,-8.10575,1.338908,FALSE,204.063643753568,215.631397058823,9.76544684232964,6.763197089858
"MT",-6.17904838068473,-13.1351930541368,6.956145,FALSE,106.140119891061,189.129346271705,0.651125913736897,5.65790558125325
"NC",-125.845992371361,-107.731838150289,18.114154,FALSE,1813.24035907345,3503.37965317919,32.608578145169,253.818604559976
"ND",-13.0930631659967,-16.7494,3.656337,FALSE,204.567763855863,243.38225,1.20000760180242,7.51237511264368
"NE",-203.419807089884,73.1009181542607,276.520725,TRUE,5724.67056277186,2934.17882452004,101.129221911246,119.405549011487
"NH",-0.526023791243429,-1.14587570621469,0.619852,FALSE,90.1703023242647,94.7483050847458,4.40301140676095,3.17904552605177
"NJ",61.2673608573127,59.8556139332366,1.411747,FALSE,844.376803627395,1055.11603773585,48.7366968239122,45.9252740075861
"NM",-2.93459707586544,3.53227722772277,6.466874,TRUE,109.740250333375,94.8811881188119,1.82040399203004,9.58141391353852
"NY",22.921698285678,20.2508313487768,2.670867,FALSE,237.450237160994,277.14036588006,20.1151449605595,16.9233691481441
"OH",168.211567445929,34.4226630434782,133.788904,FALSE,1058.50451856916,1485.92717391304,45.7664758350254,96.3866223915456
"OK",441.792590415215,188.166327503975,253.626263,FALSE,-282.530964406605,193.732750397456,241.347214814057,136.597382698342
"OR",-16.6759752874726,-24.4138503649635,7.737875,FALSE,202.677760129489,294.834397810219,7.27876553219528,8.61658879647416
"PA",-137.284254185978,-129.297331828442,7.986922,FALSE,1765.32942687531,2047.97375362786,46.5661135583825,89.9720229149886
"RI",-0.837476338667699,1.85598240469208,2.693459,TRUE,377.607208391241,383.822551319648,5.44747243148612,17.5815989322974
"SC",1.33360115010879,-9.77860000000001,11.112201,TRUE,692.928381929711,498.9488,186.412928204486,50.2015273994149
"SD",24.2697049802488,34.8840018231541,10.614297,FALSE,1078.51082212395,617.205515041021,74.7627046080661,50.2781369601342
"TN",-47.4729199709927,-29.4151219008264,18.057798,FALSE,659.798510984018,593.366188016529,27.5466263515361,17.815689534722
"TX",20.761132804178,-117.633773026316,138.394906,TRUE,1070.61469640329,2664.35485197369,47.6241326579388,171.468923582953
"UT",-37.1586807780612,-52.8640988074958,15.705418,FALSE,564.074169405581,672.080868824532,39.5986363361528,24.6649286628193
"VA",15.9803459038585,16.3624117647059,0.382066,FALSE,288.107597007491,260.536470588235,3.49616476310295,12.8948794906855
"VT",0.0798097476408413,2.6329063583815,2.553097,FALSE,126.466326879235,121.078427745665,2.96367775331648,2.92983548577447
"WA",-16.1026515038303,-11.2779870967742,4.824664,FALSE,213.792375385222,163.848258064516,1.5553513555582,5.60138263524707
"WI",-86.3095532623564,97.4804960784314,183.790049,TRUE,1664.13666378875,1241.59326470588,189.268966598469,104.29776673653
"WV",-21.0116173390456,-1.372,19.639617,FALSE,391.333186958277,221.762,22.618580845731,11.2807235684515
"WY",2.50091376267065,-6.58147085201793,9.082385,TRUE,135.2769001982,151.397757847534,32.8008625019425,8.39962377634477
