"","policy","nutrient_type","variable","value"
"122","319","Lake TN","new_coef",-7.74190768097654
"123","criteria","Lake TN","new_coef",-4.11826813160089
"124","tmdl","Lake TN","new_coef",0.671119504420541
"125","319","Lake TN","new_coef",0.592262504549384
"126","criteria","Lake TN","new_coef",4.55469877443287
"127","tmdl","Lake TN","new_coef",1.8964451668231
"128","319","Lake TN","new_coef",-8.98732719000097
"129","criteria","Lake TN","new_coef",9.47069759960421
"130","tmdl","Lake TN","new_coef",1.40988687492263
"131","319","Lake TN","new_coef",-0.919864821180393
"132","criteria","Lake TN","new_coef",-3.0207277750959
"133","tmdl","Lake TN","new_coef",-3.29290016898305
"134","319","Lake TN","new_coef",0.684944177234599
"135","criteria","Lake TN","new_coef",7.60671727132554
"136","tmdl","Lake TN","new_coef",0.12332330673235
"137","319","Lake TN","new_coef",-1.6158021808955
"138","criteria","Lake TN","new_coef",-9.68314662059513
"139","tmdl","Lake TN","new_coef",2.94248542487373
"140","319","Lake TN","new_coef",-6.2960201568481
"141","criteria","Lake TN","new_coef",-0.0380040007065054
"142","tmdl","Lake TN","new_coef",-3.23692432019514
"143","319","Lake TN","new_coef",-2.81092614757455
"144","criteria","Lake TN","new_coef",1.76873576167056
"145","tmdl","Lake TN","new_coef",-7.1606864336227
"146","319","Lake TN","new_coef",-2.84965922975912
"147","criteria","Lake TN","new_coef",9.47370065481937
"148","tmdl","Lake TN","new_coef",-4.3724891096384
"149","319","Lake TN","new_coef",1.27711673655787
"150","criteria","Lake TN","new_coef",17.2337375088005
"151","tmdl","Lake TN","new_coef",-4.32023783450734
"152","319","Lake TN","new_coef",1.1128651840748
"153","criteria","Lake TN","new_coef",0.185641760708475
"154","tmdl","Lake TN","new_coef",-7.95334056477628
"155","319","Lake TN","new_coef",2.15931549546589
"156","criteria","Lake TN","new_coef",2.73175109203422
"157","tmdl","Lake TN","new_coef",-0.736304744486903
"158","319","Lake TN","new_coef",-4.78771779974979
"159","criteria","Lake TN","new_coef",4.28930374800987
"160","tmdl","Lake TN","new_coef",4.98549069568335
"161","319","Lake TN","new_coef",0.054959520045101
"162","criteria","Lake TN","new_coef",19.1561593384734
"163","tmdl","Lake TN","new_coef",-3.23076762411628
"164","319","Lake TN","new_coef",-3.02907879185683
"165","criteria","Lake TN","new_coef",3.5515585177996
"166","tmdl","Lake TN","new_coef",0.620489553991539
"167","319","Lake TN","new_coef",-3.1822809224828
"168","criteria","Lake TN","new_coef",-7.63504542092785
"169","tmdl","Lake TN","new_coef",-10.2176811035792
"170","319","Lake TN","new_coef",-5.64713680308409
"171","criteria","Lake TN","new_coef",12.7668955026773
"172","tmdl","Lake TN","new_coef",0.503852901866575
"173","319","Lake TN","new_coef",-2.90697255887191
"174","criteria","Lake TN","new_coef",-3.0256969521139
"175","tmdl","Lake TN","new_coef",1.14545887218282
"176","319","Lake TN","new_coef",-6.65602379442864
"177","criteria","Lake TN","new_coef",14.6311186141798
"178","tmdl","Lake TN","new_coef",4.08579614507869
"179","319","Lake TN","new_coef",-2.18769172063423
"180","criteria","Lake TN","new_coef",-2.55612486545311
"181","tmdl","Lake TN","new_coef",3.81903061721277
"182","319","Lake TN","new_coef",-4.51372333324849
"183","criteria","Lake TN","new_coef",-3.99973425294387
"184","tmdl","Lake TN","new_coef",3.32411625438441
"185","319","Lake TN","new_coef",-5.72947969427771
"186","criteria","Lake TN","new_coef",14.8110703058291
"187","tmdl","Lake TN","new_coef",-7.44821240138614
"188","319","Lake TN","new_coef",3.18791223371225
"189","criteria","Lake TN","new_coef",10.1033899472584
"190","tmdl","Lake TN","new_coef",0.0974144648411711
"191","319","Lake TN","new_coef",0.0566165496258828
"192","criteria","Lake TN","new_coef",4.90162258725881
"193","tmdl","Lake TN","new_coef",-0.402426072526843
"194","319","Lake TN","new_coef",-4.95795014480277
"195","criteria","Lake TN","new_coef",14.5872807104647
"196","tmdl","Lake TN","new_coef",-1.08492733620563
"197","319","Lake TN","new_coef",-1.56478276784295
"198","criteria","Lake TN","new_coef",2.39957230509722
"199","tmdl","Lake TN","new_coef",-0.191621554733717
"200","319","Lake TN","new_coef",1.55659085518247
"201","criteria","Lake TN","new_coef",-4.22236325030544
"202","tmdl","Lake TN","new_coef",-4.04089419888771
"203","319","Lake TN","new_coef",-5.95832354973032
"204","criteria","Lake TN","new_coef",6.03232965466213
"205","tmdl","Lake TN","new_coef",-4.54422626264116
"206","319","Lake TN","new_coef",-6.59230447782588
"207","criteria","Lake TN","new_coef",8.61701347057683
"208","tmdl","Lake TN","new_coef",-0.437127834989461
"209","319","Lake TN","new_coef",0.671903520784152
"210","criteria","Lake TN","new_coef",-1.78883793302988
"211","tmdl","Lake TN","new_coef",3.14739226262155
"212","319","Lake TN","new_coef",-3.02881345449115
"213","criteria","Lake TN","new_coef",9.82078564187035
"214","tmdl","Lake TN","new_coef",6.69771392015872
"215","319","Lake TN","new_coef",3.98423605983449
"216","criteria","Lake TN","new_coef",5.76636879798067
"217","tmdl","Lake TN","new_coef",-0.574206439399963
"218","319","Lake TN","new_coef",0.985761477285078
"219","criteria","Lake TN","new_coef",11.2692544655666
"220","tmdl","Lake TN","new_coef",-8.7990067973002
"221","319","Lake TN","new_coef",-4.06383181350486
"222","criteria","Lake TN","new_coef",1.96473532212514
"223","tmdl","Lake TN","new_coef",-5.94201976108904
"224","319","Lake TN","new_coef",3.60496847001154
"225","criteria","Lake TN","new_coef",7.11230878032662
"226","tmdl","Lake TN","new_coef",0.916801193998572
"227","319","Lake TN","new_coef",1.42798843190646
"228","criteria","Lake TN","new_coef",5.35310221636247
"229","tmdl","Lake TN","new_coef",-0.903992708252225
"230","319","Lake TN","new_coef",-5.35974918934088
"231","criteria","Lake TN","new_coef",13.2760540400539
"232","tmdl","Lake TN","new_coef",3.87831610307787
"233","319","Lake TN","new_coef",2.50583410885232
"234","criteria","Lake TN","new_coef",1.2463863567652
"235","tmdl","Lake TN","new_coef",-0.83860079807828
"236","319","Lake TN","new_coef",1.28753668226542
"237","criteria","Lake TN","new_coef",-4.39615309490244
"238","tmdl","Lake TN","new_coef",-1.66927416143346
"239","319","Lake TN","new_coef",-1.72594023834319
"240","criteria","Lake TN","new_coef",8.65381231313406
"241","tmdl","Lake TN","new_coef",-2.20320923200861
"242","319","Lake TN","new_coef",-6.09971941779567
"243","criteria","Lake TN","new_coef",11.3505953367675
"244","tmdl","Lake TN","new_coef",0.715029199752221
"245","319","Lake TN","new_coef",-2.51745388342555
"246","criteria","Lake TN","new_coef",7.23534431420611
"247","tmdl","Lake TN","new_coef",-3.69610893786583
"248","319","Lake TN","new_coef",0.597488898295039
"249","criteria","Lake TN","new_coef",-2.70934012908975
"250","tmdl","Lake TN","new_coef",0.301424599592204
"251","319","Lake TN","new_coef",-0.147518357728634
"252","criteria","Lake TN","new_coef",0.96745938364596
"253","tmdl","Lake TN","new_coef",-2.66445359450053
"254","319","Lake TN","new_coef",-4.66346993452019
"255","criteria","Lake TN","new_coef",11.8615447613717
"256","tmdl","Lake TN","new_coef",-4.21548464332997
"257","319","Lake TN","new_coef",-1.54899140267514
"258","criteria","Lake TN","new_coef",2.29494051327588
"259","tmdl","Lake TN","new_coef",3.85313565715997
"260","319","Lake TN","new_coef",2.85100249389726
"261","criteria","Lake TN","new_coef",5.95334128896219
"262","tmdl","Lake TN","new_coef",-3.27800918317876
"263","319","Lake TN","new_coef",-0.259323338570195
"264","criteria","Lake TN","new_coef",11.4393172012665
"265","tmdl","Lake TN","new_coef",-0.0572057936624505
"266","319","Lake TN","new_coef",-2.76449883741062
"267","criteria","Lake TN","new_coef",3.4849152660076
"268","tmdl","Lake TN","new_coef",2.32976500488826
"269","319","Lake TN","new_coef",2.62942626896223
"270","criteria","Lake TN","new_coef",2.33519122591731
"271","tmdl","Lake TN","new_coef",-6.79294313372086
"272","319","Lake TN","new_coef",-4.8367776771985
"273","criteria","Lake TN","new_coef",5.89579139229549
"274","tmdl","Lake TN","new_coef",0.739075817309974
"275","319","Lake TN","new_coef",-0.297816896360966
"276","criteria","Lake TN","new_coef",5.62404455813274
"277","tmdl","Lake TN","new_coef",2.4004895689279
"278","319","Lake TN","new_coef",1.57343647208745
"279","criteria","Lake TN","new_coef",2.52050602196378
"280","tmdl","Lake TN","new_coef",1.10322501231192
"281","319","Lake TN","new_coef",-7.45644246895671
"282","criteria","Lake TN","new_coef",3.77478553380179
"283","tmdl","Lake TN","new_coef",3.38546161641112
"284","319","Lake TN","new_coef",-5.93337992229788
"285","criteria","Lake TN","new_coef",4.2340054774999
"286","tmdl","Lake TN","new_coef",-1.23574850926509
"287","319","Lake TN","new_coef",1.33114750277381
"288","criteria","Lake TN","new_coef",1.27049952771259
"289","tmdl","Lake TN","new_coef",-1.96367086642013
"290","319","Lake TN","new_coef",-1.19357469829476
"291","criteria","Lake TN","new_coef",3.09232109260421
"292","tmdl","Lake TN","new_coef",1.50767040611847
"293","319","Lake TN","new_coef",-0.888206345384389
"294","criteria","Lake TN","new_coef",-0.00144014098709132
"295","tmdl","Lake TN","new_coef",0.131028752924673
"296","319","Lake TN","new_coef",-4.83866012397645
"297","criteria","Lake TN","new_coef",9.75374339029339
"298","tmdl","Lake TN","new_coef",-4.848389675634
"299","319","Lake TN","new_coef",0.83987406054105
"300","criteria","Lake TN","new_coef",1.28841757182513
"301","tmdl","Lake TN","new_coef",-1.17039360298217
"302","319","Lake TN","new_coef",-6.51440795820085
"303","criteria","Lake TN","new_coef",0.491353588574865
"304","tmdl","Lake TN","new_coef",2.76794582593192
"305","319","Lake TN","new_coef",2.42799468427778
"306","criteria","Lake TN","new_coef",4.03042421565669
"307","tmdl","Lake TN","new_coef",-2.17265664884146
"308","319","Lake TN","new_coef",0.0314721036076988
"309","criteria","Lake TN","new_coef",1.35682813659998
"310","tmdl","Lake TN","new_coef",-3.49328825502652
"311","319","Lake TN","new_coef",-7.46830930680157
"312","criteria","Lake TN","new_coef",14.4082783168105
"313","tmdl","Lake TN","new_coef",3.03123395096488
"314","319","Lake TN","new_coef",-5.5393092164245
"315","criteria","Lake TN","new_coef",5.51848862570978
"316","tmdl","Lake TN","new_coef",-2.14891934421881
"317","319","Lake TN","new_coef",2.80044248800743
"318","criteria","Lake TN","new_coef",5.26270445370479
"319","tmdl","Lake TN","new_coef",-3.1892414784084
"320","319","Lake TN","new_coef",-2.67329468157696
"321","criteria","Lake TN","new_coef",-5.30614349053892
"322","tmdl","Lake TN","new_coef",-0.230044727716433
"323","319","Lake TN","new_coef",-2.03554464868242
"324","criteria","Lake TN","new_coef",-3.86440090794945
"325","tmdl","Lake TN","new_coef",0.0156198425427944
"326","319","Lake TN","new_coef",-4.29378470014427
"327","criteria","Lake TN","new_coef",1.86883305729785
"328","tmdl","Lake TN","new_coef",-9.88427445918525
"329","319","Lake TN","new_coef",-5.27335612472726
"330","criteria","Lake TN","new_coef",8.149156991379
"331","tmdl","Lake TN","new_coef",-1.71954190978375
"332","319","Lake TN","new_coef",-2.70771828499675
"333","criteria","Lake TN","new_coef",-6.62797255321962
"334","tmdl","Lake TN","new_coef",-1.16899561623022
"335","319","Lake TN","new_coef",-1.79616976762012
"336","criteria","Lake TN","new_coef",8.04595766868006
"337","tmdl","Lake TN","new_coef",-3.80138114227781
"338","319","Lake TN","new_coef",-3.12671933801591
"339","criteria","Lake TN","new_coef",3.63500903785321
"340","tmdl","Lake TN","new_coef",5.61047641821837
"341","319","Lake TN","new_coef",-0.240975442814206
"342","criteria","Lake TN","new_coef",-4.29144826104296
"343","tmdl","Lake TN","new_coef",-0.291139952180727
"344","319","Lake TN","new_coef",3.30570151621635
"345","criteria","Lake TN","new_coef",-5.50515049069088
"346","tmdl","Lake TN","new_coef",-2.5104698308049
"347","319","Lake TN","new_coef",-7.48304274636486
"348","criteria","Lake TN","new_coef",9.28682904235438
"349","tmdl","Lake TN","new_coef",3.2034698051622
"350","319","Lake TN","new_coef",-2.82261157286439
"351","criteria","Lake TN","new_coef",1.08305538380341
"352","tmdl","Lake TN","new_coef",-2.68435319241256
"353","319","Lake TN","new_coef",-1.11281598006032
"354","criteria","Lake TN","new_coef",3.68407842848096
"355","tmdl","Lake TN","new_coef",1.45446346191912
"356","319","Lake TN","new_coef",2.48288195009518
"357","criteria","Lake TN","new_coef",3.25140117013325
"358","tmdl","Lake TN","new_coef",0.261135875049364
"359","319","Lake TN","new_coef",-8.0165373777536
"360","criteria","Lake TN","new_coef",1.55663829320212
"361","tmdl","Lake TN","new_coef",-4.94076859030829
"362","319","Lake TN","new_coef",-6.04284022260954
"363","criteria","Lake TN","new_coef",2.28054543707497
"364","tmdl","Lake TN","new_coef",-0.360364079956115
"365","319","Lake TN","new_coef",-1.72005348718866
"366","criteria","Lake TN","new_coef",6.07078888566372
"367","tmdl","Lake TN","new_coef",-1.00803067223463
"368","319","Lake TN","new_coef",-6.38191658233619
"369","criteria","Lake TN","new_coef",-0.75978477554597
"370","tmdl","Lake TN","new_coef",-4.39992881119253
"371","319","Lake TN","new_coef",-1.35309408117352
"372","criteria","Lake TN","new_coef",6.03312200979046
"373","tmdl","Lake TN","new_coef",1.3013105754083
"374","319","Lake TN","new_coef",0.867102102379112
"375","criteria","Lake TN","new_coef",15.5169305431859
"376","tmdl","Lake TN","new_coef",-0.722880490300174
"377","319","Lake TN","new_coef",3.69654749702283
"378","criteria","Lake TN","new_coef",-4.1601856500324
"379","tmdl","Lake TN","new_coef",-3.0116459497629
"380","319","Lake TN","new_coef",-7.00990090606058
"381","criteria","Lake TN","new_coef",1.51319135790153
"382","tmdl","Lake TN","new_coef",0.943168726109517
"383","319","Lake TN","new_coef",-0.637989385296053
"384","criteria","Lake TN","new_coef",10.0843061872795
"385","tmdl","Lake TN","new_coef",-8.3044036694955
"386","319","Lake TN","new_coef",4.80800152469439
"387","criteria","Lake TN","new_coef",1.33583743820305
"388","tmdl","Lake TN","new_coef",-9.16517173780782
"389","319","Lake TN","new_coef",-1.27356420789735
"390","criteria","Lake TN","new_coef",6.35995518013041
"391","tmdl","Lake TN","new_coef",-5.3102582837542
"392","319","Lake TN","new_coef",-7.30859731405243
"393","criteria","Lake TN","new_coef",-0.0633385809656
"394","tmdl","Lake TN","new_coef",-2.90403292151875
"395","319","Lake TN","new_coef",-1.96957931811676
"396","criteria","Lake TN","new_coef",2.65610888836084
"397","tmdl","Lake TN","new_coef",-1.84391135121538
"398","319","Lake TN","new_coef",1.52064133119165
"399","criteria","Lake TN","new_coef",0.226545371500386
"400","tmdl","Lake TN","new_coef",-0.264743782346609
"401","319","Lake TN","new_coef",-0.414716876969889
"402","criteria","Lake TN","new_coef",8.10450587211744
"403","tmdl","Lake TN","new_coef",-8.81100558276922
"404","319","Lake TN","new_coef",-5.2671743071741
"405","criteria","Lake TN","new_coef",5.29638825170522
"406","tmdl","Lake TN","new_coef",-2.64333229247686
"407","319","Lake TN","new_coef",-8.32726220287805
"408","criteria","Lake TN","new_coef",6.51124254420212
"409","tmdl","Lake TN","new_coef",-5.28509316947172
"410","319","Lake TN","new_coef",-4.21849644857218
"411","criteria","Lake TN","new_coef",9.08149136746029
"412","tmdl","Lake TN","new_coef",1.59265910734934
"413","319","Lake TN","new_coef",-2.8118199830298
"414","criteria","Lake TN","new_coef",-2.17783155820593
"415","tmdl","Lake TN","new_coef",-1.61628383541464
"416","319","Lake TN","new_coef",-2.93167069728625
"417","criteria","Lake TN","new_coef",4.60162651588413
"418","tmdl","Lake TN","new_coef",-1.24312462034977
"419","319","Lake TN","new_coef",-2.6008470035309
"420","criteria","Lake TN","new_coef",0.630285008427014
"421","tmdl","Lake TN","new_coef",2.30892771728623
"422","319","Lake TN","new_coef",-1.1016893427922
"423","criteria","Lake TN","new_coef",6.75614002868257
"424","tmdl","Lake TN","new_coef",1.61684324031721
"425","319","Lake TN","new_coef",-0.576987354457465
"426","criteria","Lake TN","new_coef",7.56810478605305
"427","tmdl","Lake TN","new_coef",-3.59129296188355
"428","319","Lake TN","new_coef",-3.86219567914756
"429","criteria","Lake TN","new_coef",8.38208296945833
"430","tmdl","Lake TN","new_coef",-3.88149902980311
"431","319","Lake TN","new_coef",-2.23390673476748
"432","criteria","Lake TN","new_coef",5.52989214394962
"433","tmdl","Lake TN","new_coef",-1.98731115427547
"434","319","Lake TN","new_coef",-5.19507383468997
"435","criteria","Lake TN","new_coef",14.9635007759908
"436","tmdl","Lake TN","new_coef",-0.921837602706165
"437","319","Lake TN","new_coef",-8.16224369809507
"438","criteria","Lake TN","new_coef",1.68050405481056
"439","tmdl","Lake TN","new_coef",-7.25317874585417
"440","319","Lake TN","new_coef",-1.88621536978612
"441","criteria","Lake TN","new_coef",7.83042285516392
"442","tmdl","Lake TN","new_coef",-2.15213901712631
"443","319","Lake TN","new_coef",-5.92414041263443
"444","criteria","Lake TN","new_coef",-1.04485314463682
"445","tmdl","Lake TN","new_coef",-3.24436394129692
"446","319","Lake TN","new_coef",1.75700958137202
"447","criteria","Lake TN","new_coef",-0.988278625488194
"448","tmdl","Lake TN","new_coef",-1.47848260384629
"449","319","Lake TN","new_coef",-9.1220685061373
"450","criteria","Lake TN","new_coef",15.7185425595825
"451","tmdl","Lake TN","new_coef",2.97929178041503
"452","319","Lake TN","new_coef",-9.83722040498701
"453","criteria","Lake TN","new_coef",4.65824411755954
"454","tmdl","Lake TN","new_coef",-0.377583719140032
"455","319","Lake TN","new_coef",-12.8908455307107
"456","criteria","Lake TN","new_coef",9.54904823539709
"457","tmdl","Lake TN","new_coef",-8.14581990532747
"458","319","Lake TN","new_coef",-1.96459330576811
"459","criteria","Lake TN","new_coef",4.7918982424775
"460","tmdl","Lake TN","new_coef",2.23654407106718
"461","319","Lake TN","new_coef",0.221982513963546
