"state","site","date","nh4","nh4.flag","no3","no3.flag","tp","tp.flag","tn","tn.flag","site.type","order","weight","lat","lon","nh4_bdl_flag","no3_bdl_flag","tn_bdl_flag","tp_bdl_flag"
"MS","NRS18_MS_10002",2018-07-15,11,"",67.9,"",137.305,"",699,"","PROB",7,180.851279,30.88339067,-88.77355185,FALSE,FALSE,FALSE,FALSE
"NE","NRS18_NE_10008",2018-07-17,85,"",539.3,"",1160.744,"HH",2388,"HH","PROB",5,57.86505885,42.44906505,-102.9989588,FALSE,FALSE,FALSE,FALSE
"OR","NRS18_OR_10015",2018-07-17,15,"",146.5,"",17.161,"",235,"","PROB",4,890.7728393,45.56444623,-123.5731021,FALSE,FALSE,FALSE,FALSE
"CA","NRS18_CA_10788",2018-07-17,5,"",39.9,"",13.093,"",116,"","PROB",6,103.1546818,37.66785824,-120.4750645,FALSE,FALSE,FALSE,FALSE
"SC","NRS18_SC_10007",2018-07-17,73,"",670.3,"",93.055,"",1182,"","PROB",3,384.1449396,34.96663546,-82.10084104,FALSE,FALSE,FALSE,FALSE
"NY","NRS18_NY_10007",2018-07-17,60,"",592.2,"",123.18,"",1372,"","PROB",3,378.9675792,42.1154688,-79.26636795,FALSE,FALSE,FALSE,FALSE
"IN","NRS18_IN_10347",2018-07-17,179,"",1406.6,"",96.045,"",2115,"","PROB",0,942.953582,41.44904384,-86.13924699,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10825",2018-07-16,8,"",5.9,"",77.805,"",323,"","PROB",3,214.749411,37.35076028,-108.2957365,FALSE,FALSE,FALSE,FALSE
"UT","NRS18_UT_10434",2018-07-17,7,"",0.2,"NDMDL (0.0002)",9.34,"",213,"","PROB",7,114.9298217,40.88753301,-109.2213686,FALSE,TRUE,FALSE,FALSE
"AR","NRS18_AR_10016",2018-07-17,5,"",165,"",4.548,"",263,"","PROB",6,215.1246255,35.51034155,-91.92887006,FALSE,FALSE,FALSE,FALSE
"NV","NRS18_NV_10001",2018-07-17,9,"",220,"",29.538,"",349,"","PROB",2,231.4749988,40.74129976,-115.554364,FALSE,FALSE,FALSE,FALSE
"DE","NRS18_DE_10008",2018-07-17,52,"",1349.9,"",79.371,"",1521,"","PROB",4,38.20444254,39.04750238,-75.73149965,FALSE,FALSE,FALSE,FALSE
"PA","NRS18_PA_10068",2018-07-18,142,"",2743.7,"",112.921,"",3113,"HH","PROB",0,13.88218184,40.17119867,-74.8242077,FALSE,FALSE,FALSE,FALSE
"ID","NRS18_ID_10016",2018-07-17,16,"",965.2,"",45.458,"",1320,"","PROB",7,116.1429018,42.93930483,-115.7014411,FALSE,FALSE,FALSE,FALSE
"NH","NRS18_NH_10004",2018-07-17,16,"",170.3,"",9.194,"",381,"","PROB",5,79.19603366,43.865808,-72.17821718,FALSE,FALSE,FALSE,FALSE
"TX","NRS18_TX_10005",2018-07-17,22,"",6.7,"",12.148,"",250,"","PROB",3,210.0952472,30.65449693,-97.92735606,FALSE,FALSE,FALSE,FALSE
"MD","NRS18_MD_10002",2018-07-18,8,"",1290.6,"",21.106,"",1598,"","PROB",7,55.17071919,39.06636869,-77.38957869,FALSE,FALSE,FALSE,FALSE
"CA","NRS18_CA_10016",2018-07-18,27,"",2820.7,"",61.698,"",3075,"HH","PROB",6,103.1546818,37.59637606,-121.1287613,FALSE,FALSE,FALSE,FALSE
"FL","NRS18_FL_10035",2018-07-17,31,"",479.1,"",40.485,"",974,"","PROB",1,1084.88025,30.23882165,-81.7897025,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10016",2018-07-18,13,"",35.8,"",21.279,"",75,"","PROB",2,171.3808728,37.57780988,-88.65127462,FALSE,FALSE,FALSE,FALSE
"CT","NRS18_CT_10036",2018-07-17,52,"",1297.4,"",54.68,"",1647,"","PROB",2,245.9729105,41.28863522,-72.86611382,FALSE,FALSE,FALSE,FALSE
"SC","NRS18_SC_10479",2018-07-18,10,"",39.9,"",14.603,"",36,"","PROB",3,384.1449396,34.84915278,-83.05363505,FALSE,FALSE,FALSE,FALSE
"IN","NRS18_IN_10021",2018-07-18,64,"",3552.4,"",66.776,"",4163,"","PROB",1,942.953582,41.26530421,-86.3162501,FALSE,FALSE,FALSE,FALSE
"NY","NRS18_NY_10019",2018-07-18,130,"",37.5,"",44.671,"",600,"","PROB",6,67.30617754,43.13766757,-76.29550634,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10039",2018-07-18,289,"",242.9,"",217.788,"",1578,"","PROB",2,1368.744222,35.62876324,-90.9851249,FALSE,FALSE,FALSE,FALSE
"NV","NRS18_NV_10013",2018-07-18,11,"",0.2,"NDMDL (0.0002)",25.669,"",270,"","PROB",7,63.06060423,40.57471266,-116.4404649,FALSE,TRUE,FALSE,FALSE
"OR","NRS18_OR_10059",2018-07-18,40,"",4358.3,"",70.581,"",4719,"HH","PROB",5,136.1869739,45.46216562,-122.9432564,FALSE,FALSE,FALSE,FALSE
"NY","NRS18_NY_10061",2018-07-19,61,"",833.8,"",53.08,"",1270,"","PROB",4,378.9675792,43.16656562,-75.97636262,FALSE,FALSE,FALSE,FALSE
"MI","NRS18_MI_10531",2018-07-19,37,"",1477.6,"",47.31,"",1880,"","PROB",3,313.3977556,42.92392471,-84.98954692,FALSE,FALSE,FALSE,FALSE
"MD","NRS18_MD_10010",2018-07-19,17,"",1454.3,"",15.619,"",1785,"","PROB",7,55.17071919,39.3151199,-77.65539854,FALSE,FALSE,FALSE,FALSE
"IN","NRS18_IN_10008",2018-07-19,109,"",2827,"",141.173,"",3519,"","PROB",3,151.9598886,41.37190086,-86.18941505,FALSE,FALSE,FALSE,FALSE
"NE","NRS18_NE_10046",2018-07-19,25,"",67.2,"",334.64,"",1091,"","PROB",5,20.64008777,42.94926241,-102.9025938,FALSE,FALSE,FALSE,FALSE
"PA","NRS18_PA_10015",2018-07-19,10,"",1078.2,"",14.229,"",1191,"","PROB",4,618.3611891,40.59318131,-76.02771628,FALSE,FALSE,FALSE,FALSE
"TN","NRS18_TN_10005",2018-07-19,31,"",156.6,"",44.353,"",268,"","PROB",2,2518.50406,35.5001172,-88.63773224,FALSE,FALSE,FALSE,FALSE
"SC","NRS18_SC_10010",2018-07-19,17,"",15.2,"",29.733,"",274,"","PROB",3,384.1449396,33.89573007,-82.01937973,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10014",2018-07-18,11,"",817.2,"",167.176,"",1300,"","PROB",7,68.52126026,39.18629226,-108.9047683,FALSE,FALSE,FALSE,FALSE
"IN","NRS18_IN_10025",2018-07-20,58,"",452.1,"",27.953,"",738,"","PROB",3,151.9598886,41.07074511,-86.6206737,FALSE,FALSE,FALSE,FALSE
"TX","NRS18_TX_10046",2018-07-19,79,"",5976.5,"",1464.525,"",6625,"","PROB",3,450.2083142,29.80624273,-95.2141665,FALSE,FALSE,FALSE,FALSE
"ID","NRS18_ID_10008",2018-07-19,3,"LEST",88,"",19.679,"",145,"","PROB",1,774.4265702,44.20986481,-115.5467376,FALSE,FALSE,FALSE,FALSE
